step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3,1.2946562452854469,851.6466220977086,1954.2362401727619,15.0
2,X2X3,0.6822103912201269,788.8078554378126,1326.940771093552,10.0
3,X2X3,0.02625282406784927,1326.940771093552,1361.7767137055273,10.0
4,X1X2X3,0.018868373063994276,1954.2362401727619,1991.109498607519,15.0
5,X2X3,0.018120844887627448,1361.7767137055273,1386.4532583061682,10.0
6,X1X2X3,0.006604565997494309,1991.109498607519,2004.2599126993102,15.0
7,X2X3,0.005991283479841398,1386.4532583061682,1394.7598928082302,10.0
8,X1X2X3,0.004749624931434604,2004.2599126993102,2013.7793955497418,15.0
9,X1X2X3,0.020642201442255384,2013.7793955497418,2055.348235492943,15.0
10,X1X2X3,0.011369057417488445,2055.348235492943,2078.7156075951957,15.0
11,X1X2X3,0.006581951879969734,2078.7156075951957,2092.3976136965293,15.0
12,X1X2X3,0.0037358756859938555,2092.3976136965293,2100.2145510669698,15.0
13,X2X3,0.002949800630712847,1394.7598928082302,1398.874156419729,10.0
14,X1X2X3,0.0027628392006786673,2100.2145510669698,2106.0171061584933,15.0
15,X1X2X3,0.002071535310393573,2106.0171061584933,2110.3797949581935,15.0
16,X2X3,0.0019101037457662068,1398.874156419729,1401.5461511857618,10.0
