iterID,x1,x2,x3,Pareto_f1,Pareto_f2
0,2.0,-1.25,-3.5,-0.9064366317911301,-0.2781726588945958
0,1.25,1.0,-0.5,-0.28313417343588543,-0.4017410614683957
0,0.5,-2.0,-2.0,0.5368086867807332,-0.4989575791786597
0,-0.25,0.25,1.0,1.2447859532079917,-0.7046758464304643
1,1.9536678421347045,1.0,1.0,-0.908145532882281,-0.509417300245664
1,1.3920672260301812,1.0,1.0,-0.3278220904459315,-0.5874055434436929
1,1.013327058577957,1.0,1.0,-0.01924250847719919,-0.6324108042507259
1,0.5781317545678839,1.0,1.0,0.486415323796824,-0.6913953275907888
1,0.1828671326693112,1.0,1.0,0.843603721349516,-0.7345233862357082
2,1.999980702999315,1.0,1.0,-0.9243762940617686,-0.5050638187646949
2,1.9536678421347045,1.0,1.0,-0.908145532882281,-0.509417300245664
2,1.6991888465483198,1.0,1.0,-0.6674778971852786,-0.543662528396577
2,1.3920672260301812,1.0,1.0,-0.3278220904459315,-0.5874055434436929
2,1.013327058577957,1.0,1.0,-0.01924250847719919,-0.6324108042507259
2,0.7935675040791823,1.0,1.0,0.3100007051746906,-0.6678055463730164
2,0.5781317545678839,1.0,1.0,0.486415323796824,-0.6913953275907888
2,0.3874517946824074,1.0,1.0,0.5889352630321069,-0.7092917900144533
2,0.1828671326693112,1.0,1.0,0.843603721349516,-0.7345233862357082
2,-0.16365564205303929,1.0,1.0,1.0909315555768977,-0.7654928350761504
3,2.0,1.0,0.7742771020226487,-1.0374653303566497,-0.4662561318262001
3,1.999980702999315,1.0,1.0,-0.9243762940617686,-0.5050638187646949
3,1.9536678421347045,1.0,1.0,-0.908145532882281,-0.509417300245664
3,1.6991888465483198,1.0,1.0,-0.6674778971852786,-0.543662528396577
3,1.5827727138662828,1.0,0.9977119428191115,-0.47028077823455616,-0.5651872330712426
3,1.3920672260301812,1.0,1.0,-0.3278220904459315,-0.5874055434436929
3,1.1607478004014928,1.0,1.0,-0.24750473102337978,-0.6082468804704887
3,1.013327058577957,1.0,1.0,-0.01924250847719919,-0.6324108042507259
3,0.9039680892885229,1.0,1.0,-0.0037545442649703793,-0.6416482652019753
3,0.7935675040791823,1.0,1.0,0.3100007051746906,-0.6678055463730164
3,0.5781317545678839,1.0,1.0,0.486415323796824,-0.6913953275907888
3,0.3874517946824074,1.0,1.0,0.5889352630321069,-0.7092917900144533
3,0.1828671326693112,1.0,1.0,0.843603721349516,-0.7345233862357082
3,-0.026416650491914218,1.0,1.0,1.0317154822349053,-0.7557330922384011
3,-0.16365564205303929,1.0,1.0,1.0909315555768977,-0.7654928350761504
4,2.0,-2.0,-0.6523373564890562,-1.0626893429280362,-0.22691897056895535
4,2.0,1.0,0.7742771020226487,-1.0374653303566497,-0.4662561318262001
4,1.999980702999315,1.0,1.0,-0.9243762940617686,-0.5050638187646949
4,1.9536678421347045,1.0,1.0,-0.908145532882281,-0.509417300245664
4,1.6991888465483198,1.0,1.0,-0.6674778971852786,-0.543662528396577
4,1.5827727138662828,1.0,0.9977119428191115,-0.47028077823455616,-0.5651872330712426
4,1.3920672260301812,1.0,1.0,-0.3278220904459315,-0.5874055434436929
4,1.1607478004014928,1.0,1.0,-0.24750473102337978,-0.6082468804704887
4,1.013327058577957,1.0,1.0,-0.01924250847719919,-0.6324108042507259
4,0.9039680892885229,1.0,1.0,-0.0037545442649703793,-0.6416482652019753
4,0.8445841605079312,1.0,1.0,0.24349236677050803,-0.6601818622116846
4,0.7935675040791823,1.0,1.0,0.3100007051746906,-0.6678055463730164
4,0.5781317545678839,1.0,1.0,0.486415323796824,-0.6913953275907888
4,0.3874517946824074,1.0,1.0,0.5889352630321069,-0.7092917900144533
4,0.2741657943186073,1.0,1.0,0.7359804878035551,-0.7241229855355001
4,0.1828671326693112,1.0,1.0,0.843603721349516,-0.7345233862357082
4,-0.026416650491914218,1.0,1.0,1.0317154822349053,-0.7557330922384011
4,-0.16365564205303929,1.0,1.0,1.0909315555768977,-0.7654928350761504
5,2.0,-2.0,-0.6523373564890562,-1.0626893429280362,-0.22691897056895535
5,2.0,1.0,0.7742771020226487,-1.0374653303566497,-0.4662561318262001
5,1.999980702999315,1.0,1.0,-0.9243762940617686,-0.5050638187646949
5,1.9536678421347045,1.0,1.0,-0.908145532882281,-0.509417300245664
5,1.8049570279947051,1.0,1.0,-0.7703067288454774,-0.5296850974827675
5,1.6991888465483198,1.0,1.0,-0.6674778971852786,-0.543662528396577
5,1.5827727138662828,1.0,0.9977119428191115,-0.47028077823455616,-0.5651872330712426
5,1.3920672260301812,1.0,1.0,-0.3278220904459315,-0.5874055434436929
5,1.1607478004014928,1.0,1.0,-0.24750473102337978,-0.6082468804704887
5,1.013327058577957,1.0,1.0,-0.01924250847719919,-0.6324108042507259
5,0.9039680892885229,1.0,1.0,-0.0037545442649703793,-0.6416482652019753
5,0.8445841605079312,1.0,1.0,0.24349236677050803,-0.6601818622116846
5,0.7935675040791823,1.0,1.0,0.3100007051746906,-0.6678055463730164
5,0.5781317545678839,1.0,1.0,0.486415323796824,-0.6913953275907888
5,0.3874517946824074,1.0,1.0,0.5889352630321069,-0.7092917900144533
5,0.2741657943186073,1.0,1.0,0.7359804878035551,-0.7241229855355001
5,0.1828671326693112,1.0,1.0,0.843603721349516,-0.7345233862357082
5,-0.026416650491914218,1.0,1.0,1.0317154822349053,-0.7557330922384011
5,-0.16365564205303929,1.0,1.0,1.0909315555768977,-0.7654928350761504
6,2.0,-2.0,-0.6523373564890562,-1.0626893429280362,-0.22691897056895535
6,2.0,1.0,0.7742771020226487,-1.0374653303566497,-0.4662561318262001
6,1.9929918002514082,1.0,0.8829595404694306,-0.9919389680945291,-0.48506699948244747
6,1.999980702999315,1.0,1.0,-0.9243762940617686,-0.5050638187646949
6,1.9536678421347045,1.0,1.0,-0.908145532882281,-0.509417300245664
6,1.8049570279947051,1.0,1.0,-0.7703067288454774,-0.5296850974827675
6,1.6991888465483198,1.0,1.0,-0.6674778971852786,-0.543662528396577
6,1.5827727138662828,1.0,0.9977119428191115,-0.47028077823455616,-0.5651872330712426
6,1.3920672260301812,1.0,1.0,-0.3278220904459315,-0.5874055434436929
6,1.1607478004014928,1.0,1.0,-0.24750473102337978,-0.6082468804704887
6,1.013327058577957,1.0,1.0,-0.01924250847719919,-0.6324108042507259
6,0.9039680892885229,1.0,1.0,-0.0037545442649703793,-0.6416482652019753
6,0.9435496497215836,1.0,1.0,0.12945376450603974,-0.6469883996947451
6,0.666623865316847,1.0,1.0,0.1425475275250759,-0.6657099439459696
6,0.7935675040791823,1.0,1.0,0.3100007051746906,-0.6678055463730164
6,0.5781317545678839,1.0,1.0,0.486415323796824,-0.6913953275907888
6,0.3874517946824074,1.0,1.0,0.5889352630321069,-0.7092917900144533
