step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3,0.3932628753497412,1366.3614512180866,1903.7006842911564,15.0,6.362511157989502
2,X2X3,0.254187538400169,1090.6542956500966,1367.8850263069648,10.0,3.484510898590088
3,X1X2X3,0.046226307740473586,1903.7006842911564,1991.7017379689496,15.0,2.713595151901245
4,X1X2X3,0.03358268127296914,1991.7017379689496,2058.5884226259795,15.0,3.763284921646118
5,X2X3,0.02341665222225151,1367.8850263069648,1399.9163142480204,10.0,5.041566848754883
6,X2X3,0.00980370366374472,1399.9163142480204,1413.6406789469497,10.0,3.0083751678466797
7,X1X2X3,0.005950541067952376,2058.5884226259795,2070.8381375768267,15.0,2.876936912536621
8,X1X2X3,0.008003206134899134,2070.8381375768267,2087.4114820638647,15.0,4.8269288539886475
9,X1X2X3,0.01518805667796328,2087.4114820638647,2119.115205963682,15.0,3.9197990894317627
10,X1X2X3,0.010524205567407673,2119.115205963682,2141.4172100122632,15.0,4.166378021240234
11,X2X3,0.0024431429001208057,1413.6406789469497,1417.094405135041,10.0,4.254688024520874
12,X2X3,0.0028510331121821032,1417.094405135041,1421.134588207169,10.0,2.951227903366089
13,X1X2X3,0.001896175574071538,2141.4172100122632,2145.477713019785,15.0,3.478714942932129
14,X1X2X3,0.003152490609310747,2145.477713019785,2152.2413113625653,15.0,5.129347085952759
15,X1X2X3,0.0018706562399619646,2152.2413113625653,2156.2674150015696,15.0,4.857124328613281
