iterID,x1,x2,ParetoFamily,Pareto_f1,Pareto_f2,Pareto_f3
1,1.4600032719074962,0.15979458771969102,9,2.1356189887173027,96.35361271978887,71.8989185808556
1,1.2721761197443553,1.2877274444738018,9,3.260306053025893,89.94991837597041,50.9612140442406
1,3.0340276830056228,0.5246602735905137,9,9.432827716345226,68.5271392214829,64.80051941650191
1,2.4184698702833156,1.6299217056209208,9,8.509267801373067,68.8470478121638,45.05818791810537
1,1.6974351749333405,2.2782486370761075,9,8.069007885907846,76.34157286941561,34.634505752173624
1,0.9110307759512909,2.404877979157038,9,6.606757587271501,89.33817333756717,32.68046979926107
1,3.479613223398978,1.5686432483281973,9,14.585497226534853,54.30807087429061,46.07093761002266
1,2.6416142051450313,2.4673418611091775,9,13.057733719403407,60.54571379132259,31.748846272153873
1,1.960427532149021,2.7980310604962573,9,11.670774875588465,69.47221623473115,26.8668118740928
1,1.063556216195539,3.2585844937699493,9,11.781958453691775,82.9101552487057,20.473854194551365
1,4.597581344152064,0.49881088627809544,9,20.942921714744497,49.10774183289097,65.34649913106134
1,3.4769244193169184,1.598972123841714,9,14.663266314727363,54.13644795884165,45.557899584115376
1,3.199007338227527,2.636908784697916,9,17.17248370049356,51.83554699074421,29.223596445899126
1,2.78838388065805,3.01821980078672,9,16.855979744187568,55.910406754228056,23.755248926508145
1,2.083599789076257,3.4587791545022113,9,16.295561569424944,65.02342070194968,17.801732012248614
1,0.5503332308043682,3.756461765378,9,14.434608301664356,90.86366144328662,14.007295072407768
1,4.638818380153601,1.7557979670293706,9,24.579428132393776,39.2359614604126,42.92636921294138
1,3.6915810023859397,2.3020581970948433,9,18.945149019220835,47.10394818591499,34.29224031372998
1,3.3575104557401145,3.2295897073373987,9,21.67714922103987,47.245732759358205,20.853712617224367
1,2.907245006730826,3.4496436248443985,9,20.3168716019845,52.68119179594913,17.914147949131127
1,1.833825963348417,3.938832007233961,9,18.882311143020406,67.80685478781957,11.734778051023468
1,0.6324014039447934,5.0,9,25.072331374025104,87.59977515518923,-0.09579805007709297
1,4.337902193409127,2.461042076641115,9,24.924011901002313,38.54177150598353,31.87165877924034
1,3.4920346689934787,3.226281536212845,9,22.583856525715706,45.49460834500475,20.898538950067206
1,3.3561475847644777,3.275064801801074,9,21.963458745078697,47.10362706597457,20.239200373614572
1,2.6107186342081636,3.8968536530875424,9,21.976855409070666,55.78923840126225,12.22934680770302
