type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,"['X3', 'X4']",0.38940748935897046,1355.7070701129505,1883.6295565918404,20.0
1,"['X2', 'control']",0.06934210814595045,490.47611141736036,524.4867589782682,10.0
1,"['X4', 'control']",0.06768095360500113,500.31582727487455,534.1776795685131,10.0
1,"['X3', 'control']",0.06523114563865412,1560.4783079843876,1662.2700957584777,10.0
1,"['X2', 'X3']",0.06220511695244287,835.6150889465907,887.5946232817394,20.0
1,"['X1', 'X4']",0.03429565392895889,800.9075708523502,828.3752197313855,20.0
1,"['X1', 'X2']",0.03161155298491767,2854.512318759168,2944.7478861697236,20.0
1,"['X3', 'control']",0.020069336024928455,1662.2700957584777,1695.6307528744446,10.0
1,"['X3', 'X4']",0.013559751648579211,1883.6295565918404,1909.171105577149,20.0
1,"['X1', 'control']",0.013105742936043274,741.3593840216417,751.0754495318528,10.0
1,"['X4', 'control']",0.008857729898035594,534.1776795685131,538.9092811716904,10.0
1,"['X4', 'control']",0.03802059379739336,538.9092811716904,559.3989320447645,10.0
1,"['X1', 'X4']",0.00832562389560935,828.3752197313855,835.2719602553118,20.0
1,"['X2', 'control']",0.00816401181129729,524.4867589782682,528.7686750734358,10.0
1,"['X2', 'control']",0.009526799171255238,528.7686750734358,533.8061480489112,10.0
1,"['X1', 'X4']",0.007925871986487186,835.2719602553118,841.8922188861976,20.0
1,"['X1', 'X2']",0.007539377892379308,2944.7478861697236,2966.9494532813424,20.0
1,"['X3', 'control']",0.007027284426615373,1695.6307528744446,1707.5464324574093,10.0
1,"['X1', 'X4']",0.006530391949047718,841.8922188861976,847.390105054378,20.0
