type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2,0.03700087697324645,1696.281028842216,1759.0449145024588,20.0
1,X1X2,0.009716425094405762,1759.0449145024588,1776.1365426519174,20.0
1,X1X2,0.002516580887716973,1776.1365426519174,1780.6063339291309,20.0
1,X1X2,0.0030911493122609676,1780.6063339291309,1786.1104539736634,20.0
1,X1X2,0.0015214608437760112,1786.1104539736634,1788.8279510920433,20.0
1,X1X2,0.0008874097333549356,1788.8279510920433,1790.4153744271398,20.0
1,X1X2,0.0006403136763227707,1790.4153744271398,1791.561801877684,20.0
1,X1X2,0.0010865278023910806,1791.561801877684,1793.508383585126,20.0
1,X1X2,0.0005717963557159029,1793.508383585126,1794.533905142806,20.0
1,X1X2,0.00030943283677718303,1794.533905142806,1795.089192859767,20.0
1,X1X2,0.0004131751632874324,1795.089192859767,1795.8308791301424,20.0
1,X1X2,0.00030813212765651776,1795.8308791301424,1796.38423231984,20.0
1,X1X2,0.0004014298040854881,1796.38423231984,1797.1053544902825,20.0
1,X1X2,0.0003094422749099953,1797.1053544902825,1797.6614548594289,20.0
1,X1X2,0.0002748780433398181,1797.6614548594289,1798.155592522728,20.0
1,X1X2,0.00019959688529554287,1798.155592522728,1798.5144987782724,20.0
1,X1X2,0.0002110410857864841,1798.5144987782724,1798.8940592308973,20.0
1,X1X2,0.0003587049820097569,1798.8940592308973,1799.5393314920511,20.0
1,X1X2,0.00017237965299966588,1799.5393314920511,1799.849535457573,20.0
1,X1X2,0.00019539014792362955,1799.849535457573,1800.2012083245463,20.0
