iterID,x1,x2,x3,x4,x5,x6,x7,x8,Pareto_f1,Pareto_f2
0,5.0,0.0,1.8421052631578947,3.9473684210526314,3.1578947368421053,0.0,0.7894736842105263,0.5263157894736842,3.2580965380218907,46.6066481994387
0,1.8421052631578947,0.5263157894736842,3.9473684210526314,2.3684210526315788,0.0,1.0526315789473684,1.8421052631578947,0.0,3.9725666050665094,32.614199458038996
0,0.7894736842105263,1.0526315789473684,4.2105263157894735,4.473684210526316,3.4210526315789473,2.3684210526315788,1.5789473684210527,1.8421052631578947,4.3624186916550345,28.73415759191531
0,0.0,3.4210526315789473,4.473684210526316,2.631578947368421,2.3684210526315788,1.5789473684210527,0.2631578947368421,2.3684210526315788,23.40720221606857,13.921793859319989
0,2.1052631578947367,3.6842105263157894,5.0,2.894736842105263,2.894736842105263,4.7368421052631575,0.5263157894736842,0.2631578947368421,44.358528397759265,7.4241993744702865
0,1.3157894736842104,5.0,4.7368421052631575,3.6842105263157894,1.5789473684210527,2.894736842105263,3.4210526315789473,4.2105263157894735,64.15960502849758,3.745764593392598
1,0.0,0.6952094954832078,5.0,0.0,0.0,0.0,0.0,5.0,0.966632485220032,21.988670643893943
1,0.0,1.2925368836920936,5.0,0.0,0.0,0.0,0.0,5.0,3.3413031914089397,19.5323341853955
1,0.0,1.7694321718794441,5.0,0.0,0.0,0.0,0.0,5.0,6.261780421764005,16.163541378998005
1,0.0,2.2167411374431683,5.0,0.0,0.0,0.0,0.0,5.0,9.827882540865653,12.936537308030234
1,0.0,2.620131255808439,5.0,0.0,0.0,0.0,0.0,5.0,13.73017559532861,12.448958027244178
1,0.0,3.0807518596702197,5.0,0.0,0.48217792809327187,0.0,0.0,5.0,18.98206404172306,9.530035102395004
1,0.0,3.502324247867215,5.0,0.0,3.2726197246512183,0.0,0.0,5.0,24.532550274397327,7.192767342534356
1,0.0,3.9443309450371684,5.0,1.4823229024244813,3.0646322796689556,0.0,0.0,5.0,31.115493207955634,5.427997634846848
1,0.0,4.369844666773723,5.0,3.452627567878168,3.4585230414764667,0.0,0.0,5.0,38.191084823461544,3.3942899036973113
1,0.0,5.0,5.0,4.9977766721329635,3.6174759610334135,0.0,0.0,5.0,50.0,-0.13235175009776867
2,0.0,0.10926171458964407,5.0,5.0,0.0,0.0,5.0,5.0,0.023876244550137662,24.46562926576113
2,0.0,0.6952094954832078,5.0,0.0,0.0,0.0,0.0,5.0,0.966632485220032,21.988670643893943
2,0.0,1.0657558736625021,5.0,5.0,0.0,0.0,0.5128817944696096,5.0,2.2716711644922407,20.578107215943593
2,0.0,1.2925368836920936,5.0,0.0,0.0,0.0,0.0,5.0,3.3413031914089397,19.5323341853955
2,0.0,1.6030433665289396,5.0,5.0,0.0,0.0,0.0,5.0,5.13949606994487,17.525967283340783
2,0.0,1.7694321718794441,5.0,0.0,0.0,0.0,0.0,5.0,6.261780421764005,16.163541378998005
2,0.0,2.020914071010446,5.0,5.0,0.0,0.0,0.0,5.0,8.16818736481604,14.08639899492846
2,0.0,2.2167411374431683,5.0,0.0,0.0,0.0,0.0,5.0,9.827882540865653,12.936537308030234
2,0.0,2.620131255808439,5.0,0.0,0.0,0.0,0.0,5.0,13.73017559532861,12.448958027244178
2,0.0,2.900908519641956,5.0,5.0,0.0,0.0,0.0,5.0,16.830540478662602,11.342027320177898
2,0.0,3.0807518596702197,5.0,0.0,0.48217792809327187,0.0,0.0,5.0,18.98206404172306,9.530035102395004
2,0.0,3.1613946131530564,5.0,5.0,0.0,0.0,0.0,5.0,19.988831800146286,8.653699740116936
2,0.0,3.2848315129852477,5.0,5.0,0.0,0.0,0.0,5.0,21.580236137401908,7.59687442361807
2,0.0,3.502324247867215,5.0,0.0,3.2726197246512183,0.0,0.0,5.0,24.532550274397327,7.192767342534356
2,0.0,3.9443309450371684,5.0,1.4823229024244813,3.0646322796689556,0.0,0.0,5.0,31.115493207955634,5.427997634846848
2,0.0,4.167683123448817,5.0,5.0,4.712135831356559,0.0,0.0,5.0,34.739165234960176,3.1657059591375174
2,0.0,4.684735199376481,5.0,5.0,5.0,0.0,0.0,5.0,43.89348777655405,1.620714098723522
2,0.0,5.0,5.0,4.9977766721329635,3.6174759610334135,0.0,0.0,5.0,50.0,-0.13235175009776867
3,0.0,0.04483509988597478,5.0,5.0,5.0,0.0,0.0,5.0,0.004020372363570669,24.777834685398098
3,0.0,0.10926171458964407,5.0,5.0,0.0,0.0,5.0,5.0,0.023876244550137662,24.46562926576113
3,0.0,0.6952094954832078,5.0,0.0,0.0,0.0,0.0,5.0,0.966632485220032,21.988670643893943
3,0.0,1.0657558736625021,5.0,5.0,0.0,0.0,0.5128817944696096,5.0,2.2716711644922407,20.578107215943593
3,0.0,1.2925368836920936,5.0,0.0,0.0,0.0,0.0,5.0,3.3413031914089397,19.5323341853955
3,0.0,1.4908571299767945,5.0,3.073098819533805,0.0,0.0,2.7708070136038705,5.0,4.445309964005279,18.34067194137327
3,0.0,1.6030433665289396,5.0,5.0,0.0,0.0,0.0,5.0,5.13949606994487,17.525967283340783
3,0.0,1.7694321718794441,5.0,0.0,0.0,0.0,0.0,5.0,6.261780421764005,16.163541378998005
3,0.0,1.909769378850212,5.0,0.675987522443193,0.0,0.0,3.714124872708946,5.0,7.294438160787866,14.966797527637313
3,0.0,2.020914071010446,5.0,5.0,0.0,0.0,0.0,5.0,8.16818736481604,14.08639899492846
3,0.0,2.2167411374431683,5.0,0.0,0.0,0.0,0.0,5.0,9.827882540865653,12.936537308030234
