iterID,x1,x2,x3,ParetoFamily,Pareto_f1,Pareto_f2
1,-2.0,4.979246254135072,5.0,7,51.135136729917306,17.333308957909008
1,-2.0,4.890457994992857,5.0,7,49.404775131206684,17.3790754375319
1,-2.0,4.797146729075296,5.0,7,47.56756194698518,17.427687722523995
1,-2.0,4.715764932699655,5.0,7,45.955712219869866,17.47051441600286
1,-2.0,4.633870848210403,5.0,7,44.33068311994368,17.51401340848009
1,-2.0,4.559056677694234,5.0,7,42.84845322191829,17.55410402084501
1,-2.0,4.492503975120875,5.0,7,41.53555379905468,17.59004949482424
1,-2.0,4.4181482984567,5.0,16,40.079112763706135,17.630522566958007
1,-2.0,4.35717045403387,5.0,16,38.89588239768077,17.66395991419363
1,-2.0,4.290319061928276,5.0,6,37.61328892797773,17.700872187312406
1,-2.0,4.228810449978483,5.0,6,36.44924882957599,17.73506865204706
1,-2.0,4.168027537862341,5.0,6,35.316357385492125,17.769081614779992
1,-2.0,4.102602989611086,5.0,6,34.11870983057088,17.80593564646701
1,-2.0,4.041386419486384,5.0,48,33.02063571041478,17.84064748833752
1,-2.0,3.9833707902397633,5.0,48,32.0018080221795,17.87374733656628
1,-2.0,3.925270301915884,5.0,48,31.004232600618764,17.907093091797854
1,-2.0,3.8683770518848366,5.0,3,30.050656198558563,17.939936971419037
1,-2.0,3.8106193007312417,5.0,3,29.107198923219897,17.973472700235533
1,-2.0,3.753850857115429,5.0,3,28.20490465148748,18.006622744438598
1,-2.0,3.6980937127330034,5.0,3,27.343429573277557,18.03936384367057
1,-2.0,3.64126778480414,5.0,3,26.49109886852512,18.072917174583786
1,-2.0,3.5844401857960113,5.0,3,25.664878018485382,18.10665731914996
1,-2.0,3.5320588802726367,5.0,3,24.926495458661854,18.13792166097113
1,-2.0,3.4704293097267582,5.0,6,24.086105153321572,18.17490682638397
1,-2.0,3.414738715934865,5.0,6,23.35279305545874,18.208514086304028
1,-2.0,3.35794618851975,5.0,6,22.630064574828843,18.24296774853602
1,-2.0,3.2977027677950965,5.0,6,21.890513298204006,18.279714462679912
1,-2.0,3.2373857607558385,5.0,6,21.177228428812732,18.316711104397662
1,-2.0,3.1783360352745205,5.0,6,20.504390956726365,18.353128422383133
1,-2.0,3.1146092434775556,5.0,6,19.805419398891512,18.392649093277164
1,-2.0,3.0585906486598224,5.0,6,19.213275105856514,18.427576389104967
1,-2.0,2.9912014406781937,5.0,135,18.527180397010042,18.469823955835206
1,-2.0,2.927011708740885,5.0,38,17.898843648877875,18.51029903544409
1,-2.0,2.859680868891327,5.0,38,17.264490077598442,18.552998222089673
1,-2.0,2.7942658882463958,5.0,16,16.67079730799442,18.594720020660784
1,-2.0,2.7240335045295283,5.0,16,16.056349552469744,18.63977370273383
1,-2.0,2.655865019117696,5.0,16,15.480921224220598,18.683758879840738
1,-2.0,2.5860383809029437,5.0,0,14.911132290092148,18.729073453196854
1,-2.0,2.509908704138351,5.0,0,14.310600856088286,18.778775930688845
1,-2.0,2.4356407289132265,5.0,0,13.743738947253147,18.827560188171525
1,-2.0,2.3608237744047686,5.0,0,13.19004185171812,18.876999952460114
1,-2.0,2.2855036382748746,5.0,0,12.648856467508491,18.927069240051086
1,-2.0,2.208747941318991,5.0,0,12.11294642457711,18.978397319252515
