type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv
0,,,,
1,"['X1', 'control']",0.005686894922042991,573.3231290490767,576.5835574403557
1,"['X2', 'control']",0.013490079107103474,575.7478072104074,583.5146906754171
1,"['Z1', 'control']",0.007839443155351417,630.9378522521799,635.8840536794704
1,"['Z2', 'control']",0.011882476903682375,534.9832669962643,541.340193310204
1,"['X1', 'X2']",0.07382157592118005,631.1411248630734,677.7329573291318
1,"['Z1', 'Z2']",0.08577815335946691,623.8313728409421,677.3424760109392
1,"['X1', 'X2']",0.01134516206471234,677.7329573291318,685.4219475666275
1,"['Z1', 'Z2']",0.010495929167786126,677.3424760109392,684.4518146614829
1,"['Z1', 'control']",0.008286902618521805,635.8840536794704,641.1535629089831
1,"['Z2', 'control']",0.006666374278462837,541.340193310204,544.9489696507852
1,"['Z1', 'Z2']",0.0060080997093619705,684.4518146614829,688.5640694102228
1,"['X2', 'control']",0.005585406996010048,583.5146906754171,586.7738577109902
1,"['X1', 'X2']",0.0051339933010150956,685.4219475666275,688.9408992538033
1,"['Z2', 'control']",0.004005878627400429,544.9489696507852,547.1319690813332
1,"['X2', 'control']",0.0036485119768875033,586.7738577109902,588.9147091585733
1,"['Z1', 'control']",0.003451608706121343,641.1535629089831,643.3665741286804
1,"['Z1', 'Z2']",0.00342653291724803,688.5640694102228,690.9234568596912
1,"['X1', 'X2']",0.0019859102798160696,688.9408992538033,690.3090740678172
1,"['Z1', 'control']",0.0019416615820009866,643.3665741286804,644.6157742888097
