step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X11X12X5X6X2X3,1.0828431815138282,1821791218.830994,3794505418.283902,25.0
2,X11X12X5X6X2X3,0.04068882452280701,3794505418.283902,3948899383.3992963,25.0
3,X11X12X5X6X2X3,0.059798828020186795,3948899383.3992963,4185038938.4962125,25.0
4,X11X12X5X6X2X3,0.0060097788841346235,4185038938.4962125,4210190097.138068,25.0
5,X11X12X5X6X2X3,0.0032386436877371513,4210190097.138068,4223825402.720338,25.0
6,X11X12X5X6X2X3,0.08956997118858555,4223825402.720338,4602153322.347614,25.0
7,X11X12X5X6X2X3,0.005941625048421239,4602153322.347614,4629497591.80435,25.0
8,X11X12X5X6X2X3,0.0022919658775048604,4629497591.80435,4640108242.314756,25.0
9,X11X12X5X6X2X3,0.003192929034815086,4640108242.314756,4654923778.646328,25.0
10,X11X12X5X6X2X3,0.005405931172299188,4654923778.646328,4680087976.205989,25.0
11,X11X12X5X6X2X3,0.004798353310145371,4680087976.205989,4702544691.838388,25.0
12,X11X12X5X6X2X3,0.0017230434855643082,4702544691.838388,4710647380.835236,25.0
13,X11X12X5X6X2X3,0.004839541324928939,4710647380.835236,4733444753.501956,25.0
14,X11X12X5X6X2X3,0.005119287513158998,4733444753.501956,4757676618.1227865,25.0
15,X11X12X5X6X2X3,0.0,4757676618.1227865,4757676618.1227865,25.0
16,X11X12X5X6X2X3,6.49956078293946e-05,4757676618.1227865,4757985846.206437,25.0
17,X11X12X5X6X2X3,0.006955975653304206,4757985846.206437,4791082279.911415,25.0
18,X11X12X5X6X2X3,0.0008121945135312862,4791082279.911415,4794973570.653036,25.0
19,X11X12X5X6X2X3,0.007886010331671838,4794973570.653036,4832786781.771299,25.0
20,X11X12X5X6X2X3,0.0,4832786781.771299,4832786781.771299,25.0
21,X11X12X5X6X2X3,0.0,4832786781.771299,4832786781.771299,25.0
22,X11X12X5X6X2X3,7.566258156648756e-05,4832786781.771299,4833152442.895369,25.0
23,X11X12X5X6X2X3,4.7373263124146314e-05,4833152442.895369,4833381405.097765,25.0
24,X11X12X5X6X2X3,1.356198815291311e-05,4833381405.097765,4833446955.359119,25.0
25,X11X12X5X6X2X3,0.0,4833446955.359119,4833446955.359119,25.0
26,X11X12X5X6X2X3,8.629917634202606e-06,4833446955.359119,4833488667.608233,25.0
27,X11X12X5X6X2X3,0.0,4833488667.608233,4833488667.608233,25.0
28,X11X12X5X6X2X3,0.0,4833488667.608233,4833488667.608233,25.0
29,X11X12X5X6X2X3,0.0,4833488667.608233,4833488667.608233,25.0
30,X11X12X5X6X2X3,0.00041036427915717256,4833488667.608233,4835472158.701131,25.0
31,X11X12X5X6X2X3,0.0,4835472158.701131,4835472158.701131,25.0
32,X11X12X5X6X2X3,0.0,4835472158.701131,4835472158.701131,25.0
