type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,"['X1', 'X2', 'X3']",0.28171797901083406,3495.3525091136867,4480.0561539116425,30.0
1,"['X2', 'X3']",0.2550274951109977,1073.5348041281316,1347.3156961394045,20.0
1,"['X1', 'X2', 'X3']",0.01730003162202179,4480.0561539116425,4557.561267042747,30.0
1,"['X2', 'X3']",0.015566282976272121,1347.3156961394045,1368.2883935238835,20.0
1,"['X2', 'X3']",0.004981080335669309,1368.2883935238835,1375.10394793439,20.0
1,"['X1', 'X2', 'X3']",0.003753957740059337,4557.561267042747,4574.670159436957,30.0
1,"['X1', 'X2', 'X3']",0.0024231653655501987,4574.670159436957,4585.755341726121,30.0
1,"['X2', 'X3']",0.002229355824070746,1375.10394793439,1378.1695439294201,20.0
1,"['X1', 'X2', 'X3']",0.0009197614850707255,4585.755341726121,4589.973142869398,30.0
1,"['X2', 'X3']",0.0007923140627314718,1378.1695439294201,1379.2614870399036,20.0
1,"['X2', 'X3']",0.0017119515683761298,1379.2614870399036,1381.6227159058424,20.0
1,"['X2', 'X3']",0.00043554170847339254,1381.6227159058424,1382.2244702239936,20.0
1,"['X1', 'X2', 'X3']",0.0003975299014921073,4589.973142869398,4591.797794440734,30.0
1,"['X1', 'X2', 'X3']",0.0003220608232023121,4591.797794440734,4593.27663261839,30.0
1,"['X2', 'X3']",0.00028413125873641025,1382.2244702239936,1382.6172034025747,20.0
1,"['X1', 'X2', 'X3']",0.0002514079539566618,4593.27663261839,4594.431418898554,30.0
1,"['X2', 'X3']",0.0002259847824544913,1382.6172034025747,1382.9296538505034,20.0
1,"['X1', 'X2', 'X3']",0.00017579913431268237,4594.431418898554,4595.239115964655,30.0
1,"['X1', 'X2', 'X3']",0.00012616587292245236,4595.239115964655,4595.818878319008,30.0
