iterID,x1,x2,Pareto_f1,Pareto_f2
0,50.0,0.0,-42608.57460374655,-55023.54746436827
1,40.50966459682259,37.499999980754325,-61025.54327197531,32450.161270685163
1,50.0,0.0,-42608.57460374655,-55023.54746436827
2,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
2,50.0,0.0,-42608.57460374655,-55023.54746436827
3,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
3,38.723339513940374,38.96085439676027,-66477.31372326474,9831.197099987317
3,50.0,0.0,-42608.57460374655,-55023.54746436827
4,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
4,38.04601077356651,38.33331133912134,-86443.5250280645,23319.696707116098
4,38.723339513940374,38.96085439676027,-66477.31372326474,9831.197099987317
4,50.0,0.0,-42608.57460374655,-55023.54746436827
5,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
5,38.04601077356651,38.33331133912134,-86443.5250280645,23319.696707116098
5,38.723339513940374,38.96085439676027,-66477.31372326474,9831.197099987317
5,50.0,0.0,-42608.57460374655,-55023.54746436827
6,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
6,38.04601077356651,38.33331133912134,-86443.5250280645,23319.696707116098
6,38.723339513940374,38.96085439676027,-66477.31372326474,9831.197099987317
6,50.0,0.0,-42608.57460374655,-55023.54746436827
7,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
7,38.04601077356651,38.33331133912134,-86443.5250280645,23319.696707116098
7,38.723339513940374,38.96085439676027,-66477.31372326474,9831.197099987317
7,50.0,0.0,-42608.57460374655,-55023.54746436827
8,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
8,38.04601077356651,38.33331133912134,-86443.5250280645,23319.696707116098
8,38.723339513940374,38.96085439676027,-66477.31372326474,9831.197099987317
8,50.0,0.0,-42608.57460374655,-55023.54746436827
8,37.31209886160855,39.973601655694175,137804.34970746696,-59204.25565129791
9,40.66783225871577,41.53395926700931,-89629.0626642578,30106.522534626856
