iterID,x1,x2,x3,ParetoFamily,Pareto_f1,Pareto_f2,Pareto_f3
15,4.413921277366527,4.3995015260100665,-5.0,18,38.7524208647086,31.49928407019916,29.69827807233253
15,1.7358617343215639,4.443806547042958,5.0,18,23.19571638579942,68.00931142610182,25.003840270292702
15,3.136133461090501,3.0672841358849996,1.5158295925802312,18,19.27055387939278,50.8418359984919,46.7590713100725
15,3.749893488524217,3.9522735756380944,-5.0,18,29.690592259072304,40.1357856684231,34.456473124733535
15,2.2993752001308425,1.806959575232966,-5.0,18,8.544837999411726,69.63305931977787,57.833216865874476
16,1.6882817170574973,0.7424954086038354,-5.0,23,3.389009947033472,87.14223253305063,77.98072462058855
16,1.0086639250554437,1.1200969286375213,-5.0,23,2.2092107530998746,96.04051608959658,68.61884031801269
16,0.11727344937202011,1.0252779575998148,-5.0,23,1.115133524333526,113.59217209277084,61.05752401348607
16,2.8578299221951142,0.804098209442064,3.1721888747577367,23,8.916960709294447,68.47160015356225,68.7741515396961
16,2.7639737568746927,0.29870163208497,4.175097017794812,23,8.433380031898494,73.93230155358754,56.08521897484229
16,0.6045809044612713,2.926437137871453,5.0,23,8.893083487632344,92.6285991743053,50.31984529658702
16,3.101855345214431,2.096963898514913,2.778958193062043,23,13.990841394998393,55.98303667581334,63.3745679360706
16,2.6244334916311662,2.785098588559391,5.0,23,14.57437196523574,59.18537942477265,54.2849891406626
16,1.5931958527185042,3.517491639388824,-4.95108525312682,23,14.893996631525408,72.75580230655437,40.27157274919177
16,0.7343316406595956,3.777874751570851,-5.0,23,14.785285849243177,87.41882122461907,36.73486323453368
16,4.049704982024672,1.985478244332954,-1.0676831580219326,23,20.393884326831568,44.411496965004496,64.82632572367886
16,3.1557014380400137,3.0056852364042577,-2.9210962650302115,23,19.017327413423153,50.84884051554331,48.19161573440053
16,2.7613492473639276,3.3929875829287273,-3.8933727085382173,23,19.12782912698426,54.945121659121014,40.43571220850073
16,1.7581626756217106,4.129234236526534,-5.0,23,20.088691717859565,68.69356314254313,28.27607781983359
16,3.696685593837783,2.8131074520107164,-5.0,23,21.5697005366156,44.460593406521454,51.67342231494285
16,2.8120415447398903,3.447546845622518,-3.449978624774994,23,19.792678242040026,54.06648170280222,40.941021012580705
16,2.1915325774670276,3.8962772380106236,-5.0,23,19.868153720922532,62.20837252578545,37.29482407088934
16,1.6906388998816835,4.56217845929652,-2.685611041776433,23,23.61267555723242,68.98083944146725,21.74684360423979
16,4.601811058549551,2.81473098914605,-0.3445465701783492,23,29.087668108226268,33.97876795911097,54.948786285186266
16,3.7440821864115383,3.8484846187634765,-4.688814344429996,23,28.814038596707178,40.41480742975093,36.58897572256163
16,3.027322045115458,4.003277560849764,-3.0411280443685897,23,25.228362052672775,49.54699921994403,31.330810066828235
16,2.464756761972062,4.627214641599437,-1.4510328386861442,23,27.53329477539314,56.92657932971211,28.134708967113994
16,4.5021298343724325,3.62500758739581,-2.4254228050052395,23,33.36531839295627,32.13853659327802,40.53867731550887
16,3.8064026817948315,3.9203959028487483,-5.0,23,29.87600977351002,39.51936943585504,34.4154469141107
16,2.9122454981525,4.81320109349301,-1.0735081304558274,23,31.560416477519702,50.25597578630867,25.931197798840948
16,4.442074116322487,4.352101211619851,-5.0,23,38.55147596124201,31.294534340263723,29.90375191964369
16,1.693608634970241,2.7272764984918343,-5.0,23,10.433573024654898,74.20921753576356,47.217561233640495
16,1.9886241020913014,0.6827458865606952,-5.0,23,4.373706428835231,82.52032732749487,77.38020613779712
16,2.812991817388923,0.34469528099514646,4.08383438693688,23,8.71380734245004,72.76572857754759,56.36329616143013
16,3.678012915708127,3.110254556638115,-3.5597305557669596,23,23.24227020392127,43.53747482066657,46.72968655754054
16,0.65141586481661,4.57313044848549,-5.0,23,21.437481272618996,87.56648359064056,29.231687818035436
16,2.817725558120341,3.3170471869469127,-3.4592347670934744,23,18.921775528034566,54.41099581751536,42.58096579450203
16,2.9918571825763305,3.9625472322432955,-1.793834109440151,23,24.664798893319652,50.13103752616084,32.32026300938171
17,1.962953504484256,0.6796949663274998,5.0,17,4.230586124179053,83.1432336428946,76.31553350519053
17,1.8553628589328541,0.0,1.728006611422746,17,3.5533633956297255,90.74874440794584,59.83822162807914
17,0.5188933074307434,0.0,5.0,17,0.20043836925924907,113.80116330557652,61.50768484762163
17,2.6347692882069964,1.6524892924100003,-5.0,17,9.625437835187089,65.31898363099349,69.8238434339776
17,1.7888858300708264,2.4193189134741235,5.0,17,8.953447388752151,74.178051167514,53.38756080848048
17,0.7024987851550168,2.9916072532408777,5.0,17,9.416371020626741,90.53118029135425,50.25627641690994
17,3.9680937836522236,0.8957039507001676,-5.0,17,16.501478808347446,53.108127116775485,74.84485547883449
17,2.670749495787346,2.742843618788841,-5.0,17,14.646350727405105,58.684070174477085,53.627315158276446
17,1.6320457100738184,3.506518856416859,5.0,17,14.982409344620963,72.08365247381703,40.91811812858477
17,0.7304144422752673,3.7812770403281166,-5.0,17,14.799710835072363,87.47985869520251,36.59924901534538
17,3.968212509682472,1.8362199462661684,-5.0,17,19.100732283574565,46.340135860395904,68.43783931388501
17,3.1130964810419544,3.0126490664200145,-5.0,17,18.800437301819926,51.38396227507129,47.99045234062359
17,2.7406713094134263,3.3840979036295975,-5.0,17,18.95332015011842,55.25719749285004,40.36782561210209
17,1.8677747094836543,4.073130772444735,-5.0,17,20.07545431121599,67.00418915111825,28.449897536096994
17,0.6528488295631125,4.596925342567424,-5.0,17,21.632723143260698,87.51148226888995,28.852994500251935
17,3.835938344721528,2.871103206401747,-5.0,17,22.918549236446008,42.66373350230059,51.096383950703945
17,2.9754037849700774,3.8358688020972123,5.0,17,23.38310227038105,50.64754206866445,37.527399392874415
17,2.8324655232421767,3.902976161260666,5.0,17,23.077380188097557,52.646892754099916,37.065170717411306
17,1.8812815671735559,4.122521769732788,-5.0,17,20.456237438647157,66.72068390477448,24.855571057594602
17,4.643800354695415,2.7997554198860786,-5.0,17,29.38813390818921,33.62690416070231,55.83048440199227
17,3.757652274776289,3.8430285133938917,-3.7146558994302006,17,28.867941697043072,40.25208499304976,37.17748669060006
17,3.7245010764832056,3.8771034540359945,-5.0,17,28.913437674138436,40.51382892272378,36.10121169576581
17,2.436470471826956,4.72899774977223,5.0,17,28.189410075436015,57.3203521938351,26.835794970114772
