step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.4375915689651174,1337.9965276780135,1923.4925274945147,20.0,3.3225138187408447
2,X1X2X3X4,0.019321443140764064,1923.4925274945147,1960.6571789961845,20.0,3.8702969551086426
3,X1X2X3X4,0.005246741735255057,1960.6571789961845,1970.9442408457512,20.0,3.649127960205078
4,X1X2X3X4,0.019610695710380422,1970.9442408457512,2009.595828615104,20.0,3.862740993499756
5,X1X2X3X4,0.005742272413981019,2009.595828615104,2021.1354753050118,20.0,3.837991952896118
6,X1X2X3X4,0.002303572020417963,2021.1354753050118,2025.7913064353986,20.0,3.8752079010009766
7,X1X2X3X4,0.0012170760880388797,2025.7913064353986,2028.2568485938182,20.0,3.6775453090667725
8,X1X2X3X4,0.0011007993433658552,2028.2568485938182,2030.4895524009276,20.0,3.9734702110290527
9,X1X2X3X4,0.0029707967323084304,2030.4895524009276,2036.5217241281866,20.0,4.767679929733276
10,X1X2X3X4,0.0005690006449893883,2036.5217241281866,2037.6805063027505,20.0,4.569728136062622
