type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,"['X1', 'X2', 'X3', 'X4']",0.042645689956807384,2120.105867772024,2210.5192452846377,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.006129158115429297,2210.5192452846377,2224.0678672561867,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0031816273581504353,2224.0678672561867,2231.1440224290322,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.002705184107167805,2231.1440224290322,2237.1796777793097,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0015157914001782129,2237.1796777793097,2240.570775495541,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0008262683834984925,2240.570775495541,2242.4220882883237,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0010490214310082283,2242.4220882883237,2244.7744371163044,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0005864035765236883,2244.7744371163044,2246.0907808747183,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0004244199666995285,2246.0907808747183,2247.0440666491413,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0003694082822028849,2247.0440666491413,2247.8741433378364,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0002391352170862566,2247.8741433378364,2248.411689209086,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0002850431972423377,2248.411689209086,2249.0525836656952,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.000425467677514753,2249.0525836656952,2250.009482845076,40.0
1,"['X1', 'X2', 'X3', 'X4']",8.6680471145763e-05,2250.009482845076,2250.2045147271315,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.00019076828986163978,2250.2045147271315,2250.633782394245,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0003102052164831388,2250.633782394245,2251.331940733937,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.00017288706987397974,2251.331940733937,2251.721166916484,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.00021526099735666248,2251.721166916484,2252.2058746606435,40.0
1,"['X1', 'X2', 'X3', 'X4']",0.0002785461432884863,2252.2058746606435,2252.833217920922,40.0
