type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv
0,,,,
1,"['Z1', 'Z2']",0.18228683800882198,391.2160588086341,462.52959714713336
1,"['Z1', 'Z2']",0.015291753870139958,462.52959714713336,469.6024859043623
1,"['Z1', 'Z2']",0.004612846536288028,469.6024859043623,471.7686901048985
1,"['Z1', 'Z2']",0.0018758190989910566,471.7686901048985,472.65364282410326
1,"['Z1', 'Z2']",0.0011604065880068894,472.65364282410326,473.2021132250818
1,"['Z1', 'Z2']",0.002065224032163189,473.2021132250818,474.17938160138465
1,"['Z1', 'Z2']",0.00106375203941903,474.17938160138465,474.6837908856136
1,"['Z1', 'Z2']",0.0005901183114047971,474.6837908856136,474.9639104827422
1,"['Z1', 'Z2']",0.0004964434895755843,474.9639104827422,475.19970322388474
1,"['Z1', 'Z2']",0.0005625093088241265,475.19970322388474,475.46700748049864
1,"['Z1', 'Z2']",0.00023085157732189267,475.46700748049864,475.57676978914003
1,"['Z1', 'Z2']",0.00025500943540970314,475.57676978914003,475.69804635269793
1,"['Z1', 'Z2']",0.0003498176033950429,475.69804635269793,475.86445390321273
1,"['Z1', 'Z2']",0.0003079849223284865,475.86445390321273,476.011012980087
1,"['Z1', 'Z2']",0.000276773570839735,476.011012980087,476.14276024790854
1,"['Z1', 'Z2']",0.00013270819278236737,476.14276024790854,476.20594829312745
1,"['Z1', 'Z2']",0.00028193878214462204,476.20594829312745,476.34020921823924
1,"['Z1', 'Z2']",0.00013840199384834769,476.34020921823924,476.4061356529452
1,"['Z1', 'Z2']",0.0001145305552670236,476.4061356529452,476.46069871219413
