step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.6329606604370632,1185.732558368188,1936.2546216146447,20.0,3.7736690044403076
2,X1X2X3X4,0.03993349148713999,1936.2546216146447,2013.5760290638286,20.0,4.023270845413208
3,X1X2X3X4,0.008698216784558531,2013.5760290638286,2031.0905498768163,20.0,3.5759658813476562
4,X1X2X3X4,0.017858250503377502,2031.0905498768163,2067.3622737115593,20.0,4.757251977920532
5,X1X2X3X4,0.021843980618839045,2067.3622737115593,2112.5216951506336,20.0,4.13815712928772
6,X1X2X3X4,0.0070611514279079225,2112.5216951506336,2127.438530734833,20.0,4.404494047164917
7,X1X2X3X4,0.0031496059928528097,2127.438530734833,2134.1391238806614,20.0,4.566420078277588
8,X1X2X3X4,0.005313203561251787,2134.1391238806614,2145.478239473871,20.0,5.2179341316223145
9,X1X2X3X4,0.0016579408570265935,2145.478239473871,2149.035315504956,20.0,5.272485256195068
10,X1X2X3X4,0.0014918279521056383,2149.035315504956,2152.2413064586885,20.0,4.681653022766113
