iterID,x1,x2,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,30000.0,60045.0,-90045.0,60871.19564107395,0.0,0.0,0.0,0.0,0.0,0.0,2617832055.239757
0,0.0,45033.75,-45033.75,44527.04462525857,0.0,0.0,0.0,0.0,0.0,0.0,2617832055.239757
0,15000.0,0.0,-15000.0,-8671.830703093363,0.0,0.0,0.0,0.0,0.0,0.0,2617832055.239757
0,60000.0,15011.25,-75011.25,23939.88213437241,0.0,0.0,0.0,0.0,0.0,0.0,2617832055.239757
0,45000.0,30022.5,-75022.5,17257.016704179332,0.0,0.0,0.0,0.0,0.0,0.0,2617832055.239757
1,60000.0,41053.39946146076,-101053.39946146077,29754.923180708043,-100544.52126283264,0.10296632869162502,-1.5096003095510468,29167.33835357257,0.6537347676408536,0.06653055676656483,3664586502.1071267
1,32553.215922957344,5275.842049752127,-37829.057972709474,8889.649267786777,-37734.684583380746,0.05726064516265313,0.8303063865919569,1424.7374329326049,0.44459977184007643,-1.0996777513739375,3664586502.1071267
1,60000.0,59271.07218588969,-119271.07218588963,58547.60561304044,-117917.8882189506,0.17025329296691863,-2.1568246907038997,47773.17203024849,0.7219299755307593,0.8486590196201218,3664586502.1071267
1,60000.0,32402.11095493158,-92402.11095493156,32719.712348670517,-92096.20036873504,0.0697207634200946,-1.1948680370862945,21573.507288098008,0.44660408409763713,-0.252689292320591,3664586502.1071267
1,35386.921386090085,18556.032876578258,-53942.954262668354,17044.754702873823,-53780.18701557856,0.040633691848808516,0.23255003871784652,11250.536179903673,0.5032015197691658,-0.686633272753731,3664586502.1071267
2,60000.0,364.1178181643496,-60364.11781816438,4859.170715038593,-60367.98974278757,0.0038221826556407166,0.33123486925978796,-8398.950482300519,0.06859343735758519,-1.7847226508755347,4782551870.664733
2,60000.0,27131.96471439454,-87131.9647143945,23561.419267164398,-87132.6211202448,0.0,-0.5471237951187504,7435.864965905028,0.4154025957156446,-1.0185775238110952,4782551870.664733
2,60000.0,53793.08387456527,-113793.0838745653,49138.68873111852,-113797.31214001408,0.00021037161939212252,-1.422202628071318,44581.51895315354,0.6738007136910045,0.7786623547993798,4782551870.664733
2,60000.0,29604.316997646543,-89604.31699764657,12920.798279857792,-89604.70452273726,0.0,-0.6282523503759876,14860.068054672598,0.052192232994982934,-0.6593679682971016,4782551870.664733
2,60000.0,57075.50940860507,-117075.50940860507,31026.047433637214,-117078.19832383734,0.0003126668097037534,-1.5298743821022072,50910.34203708371,0.26610840428405,1.0848734995813367,4782551870.664733
3,39692.37223584508,0.0,-39692.37223584508,2341.940958635766,-39703.0760910003,0.02279376911735013,1.297281054634368,-2847.0082178514967,0.12605018581331773,-1.5634866640480911,5027884525.477118
3,54224.68071662589,0.0,-54224.68071662589,11452.147725603489,-54233.25490940103,0.0,0.8072823511902243,1686.056281091027,0.1629664719351934,-1.3267623904836374,5027884525.477118
3,27751.337485663447,0.0,-27751.33748566345,-12023.319224469598,-27749.441506764037,0.01762463674098268,1.7003914031665772,-6097.2061304463205,0.07860546727181805,-1.7332174808011285,5027884525.477118
3,60000.0,29181.930422884354,-89181.93042288437,37485.40037008224,-89181.92594581434,0.025370530724667453,-0.3712856285274029,11908.496556629998,0.13735514705038615,-0.7929293182104562,5027884525.477118
3,60000.0,56631.04774318569,-116631.04774318567,57650.50339696332,-116631.07582968814,0.024325067446007608,-1.2969485554494895,29711.40946207856,0.18685940973003687,0.13676881996002033,5027884525.477118
4,60000.0,30441.396830416586,-90441.39683041659,25852.09882897595,-90441.39417958469,0.017513516099946426,-0.49845366056251805,-9194.12984550275,0.5676030891732521,-1.632888833124916,5048495726.689055
4,60000.0,57718.4970061572,-117718.49700615721,44437.93104365827,-117718.51781357806,0.0,-1.3791441062348895,13542.95892130115,0.40347681538674357,-0.5523163577328063,5048495726.689055
4,60000.0,58451.39615971675,-118451.39615971669,47261.08704841237,-118451.4048340339,0.030038641673677195,-1.4028066670434782,29665.112139810204,0.5783322851515075,0.21388353666220716,5048495726.689055
4,60000.0,31041.13829090649,-91041.13829090647,37043.553211656166,-91041.13632873616,0.0,-0.5178174024185864,-820.503893236626,0.825949502411787,-1.2349350838103454,5048495726.689055
4,60000.0,31319.245083299546,-91319.24508329955,36727.30775195073,-91319.24357726194,0.0,-0.5267965895181987,6261.009497778072,0.8211444389722458,-0.898388548194794,5048495726.689055
5,60000.0,1406.8492817907832,-61406.84928179078,20772.798589773378,-61406.63347758408,0.0,0.6257043789551062,-2512.8087709301835,1.3519453797794516,-1.5288109350846464,5221647364.558092
5,60000.0,25990.60551919317,-85990.6055191932,23363.335746506877,-85990.62066085289,0.0,-0.1858260152166622,5074.272956589546,1.7934296801193144,-1.1459657304884594,5221647364.558092
5,60000.0,51620.02693165196,-111620.02693165193,39354.56424215014,-111619.99248886676,0.0,-1.0318651083430268,24819.80010621568,2.635675384139276,-0.14960367021981025,5221647364.558092
5,39810.800992494325,1061.0489172221037,-40871.84990971642,-8236.580116394045,-40871.747783709354,0.0,1.3035717955458495,-6695.222939073727,1.2751039611935802,-1.739856138683943,5221647364.558092
5,26000.0928813207,401.0443636628869,-26401.13724498358,-14776.290590736626,-26400.374090794925,0.0,1.7812794802134704,-14151.412696388441,0.662914257202617,-2.116096516165724,5221647364.558092
6,60000.0,29835.37631887385,-89835.37631887385,6077.061262233358,-89835.37557188948,0.0,-0.3884260486229323,8775.688192581303,0.08382637997902662,-0.789831177381771,5430357446.969181
6,52228.237942435495,643.1960409997938,-52871.43398343528,9976.463936252885,-52871.26987757705,0.021893499743556987,0.8089315900579095,583.8734515659962,0.2548150912495653,-1.184495416721978,5430357446.969181
6,36368.711576892834,860.1131340086432,-37228.824710901485,-8661.65503663367,-37228.834770950874,0.0,1.3156282572890632,-11649.614572019505,0.12110755833600524,-1.7738788925386562,5430357446.969181
6,60000.0,37627.83889826206,-97627.83889826204,59201.38099945981,-97627.84498763506,0.030042569201095864,-0.6408431598683819,26166.14912990783,2.6252454157269063,0.048004302861877124,5430357446.969181
6,60000.0,57190.71258531739,-117190.71258531742,61166.79258797996,-117190.73712666534,0.03535401336831494,-1.2745330029574689,29711.040298666856,0.03897669384328609,0.21878963198526252,5430357446.969181
7,60000.0,52943.85397858181,-112943.85397858178,22228.413713565013,-112943.84584277577,0.06534212464207238,-1.1388568935217336,-7927.584073131857,1.9653089219047957,-1.4990238537072997,5666685172.591148
7,29479.077576239706,1539.688964983045,-31018.76654122275,-2294.252610605967,-31018.635478708675,0.051636040635135085,1.5313421831233427,-27574.051605435718,1.1062517930460174,-2.38737367083845,5666685172.591148
7,60000.0,60045.0,-120045.0,58162.66863929011,-120044.91553609155,0.0,-1.3703029850730672,22945.99984787494,1.719155813033079,-0.1030200894014115,5666685172.591148
7,35960.609640271694,1531.3287608794874,-37491.93840115118,1575.1248808894559,-37491.935922270095,0.0644775113610153,1.3203570566838607,-19041.660792012703,0.8392978499184909,-2.0015665120536568,5666685172.591148
7,23939.670285600034,1602.5138862838216,-25542.184171883855,-19257.40830588879,-25541.74538608113,0.0,1.7098511769145261,-32457.29709850458,1.4927260749814335,-2.60817826248534,5666685172.591148
