iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2
0,-100.0,62.5,20.0,0.25,0.07617411470381448,6.79186863175092
0,-50.0,75.0,25.0,0.0,0.18335653458135287,5.845459020638169
0,50.0,87.5,27.5,0.75,0.27057885477547217,5.831434426480194
0,100.0,100.0,30.0,0.5,0.37844510866110126,5.271271374618205
1,-100.0,62.5,20.0,0.25,0.07617411470381448,6.79186863175092
1,100.0,100.0,22.239163858148224,0.0,0.11434828208615741,6.2926026523204195
1,100.0,100.0,23.576022840273048,0.0,0.14429142864474487,6.091672971309414
1,-50.0,75.0,25.0,0.0,0.18335653458135287,5.845459020638169
1,100.0,100.0,26.07820614629682,0.0,0.216873343969595,5.658095368207338
1,100.0,100.0,27.54963432548749,0.0,0.2709775203932999,5.4151872239727705
1,100.0,100.0,29.452266192001247,0.0,0.35173609723923427,5.082383753751814
2,-100.0,62.5,20.0,0.25,0.07617411470381448,6.79186863175092
2,100.0,50.0,20.452904759505508,0.0,0.08303959330213767,6.581283533790539
2,100.0,100.0,22.239163858148224,0.0,0.11434828208615741,6.2926026523204195
2,100.0,100.0,23.576022840273048,0.0,0.14429142864474487,6.091672971309414
2,100.0,50.0,24.13428023277359,0.0,0.15803579526443237,6.014139689699624
2,-50.0,75.0,25.0,0.0,0.18335653458135287,5.845459020638169
2,100.0,100.0,26.07820614629682,0.0,0.216873343969595,5.658095368207338
2,100.0,50.0,26.765035833736135,0.0,0.24124634379497115,5.547479913830658
2,100.0,100.0,27.54963432548749,0.0,0.2709775203932999,5.4151872239727705
2,100.0,50.0,28.458196951354786,0.0,0.30932268324969736,5.229687716241607
2,-100.0,50.0,29.022417411023717,0.0,0.3333170442521828,5.1588969539943035
2,100.0,100.0,29.452266192001247,0.0,0.35173609723923427,5.082383753751814
3,-100.0,62.5,20.0,0.25,0.07617411470381448,6.79186863175092
3,100.0,50.0,20.452904759505508,0.0,0.08303959330213767,6.581283533790539
3,100.0,100.0,21.279545847142362,0.0,0.0966052267561557,6.456557305708734
3,100.0,100.0,22.239163858148224,0.0,0.11434828208615741,6.2926026523204195
3,100.0,100.0,23.576022840273048,0.0,0.14429142864474487,6.091672971309414
3,100.0,50.0,24.13428023277359,0.0,0.15803579526443237,6.014139689699624
3,-50.0,75.0,25.0,0.0,0.18335653458135287,5.845459020638169
3,100.0,100.0,25.493416884550093,0.0,0.19841820089791218,5.753945775175507
3,100.0,100.0,26.07820614629682,0.0,0.216873343969595,5.658095368207338
3,100.0,100.0,26.322423627217084,0.0,0.22551027005319,5.642858085775741
3,100.0,50.0,26.765035833736135,0.0,0.24124634379497115,5.547479913830658
3,100.0,100.0,27.54963432548749,0.0,0.2709775203932999,5.4151872239727705
3,100.0,50.0,28.019885788876422,0.0,0.2897764679709257,5.337667911136456
3,100.0,50.0,28.458196951354786,0.0,0.30932268324969736,5.229687716241607
3,-100.0,50.0,29.022417411023717,0.0,0.3333170442521828,5.1588969539943035
3,100.0,100.0,29.452266192001247,0.0,0.35173609723923427,5.082383753751814
3,100.0,50.0,29.76504158816024,0.0,0.36701743373712997,5.029671430589534
4,-100.0,62.5,20.0,0.25,0.07617411470381448,6.79186863175092
4,100.0,50.0,20.452904759505508,0.0,0.08303959330213767,6.581283533790539
4,100.0,100.0,21.279545847142362,0.0,0.0966052267561557,6.456557305708734
4,-100.0,50.0,21.429939379134307,0.0,0.09863500387616661,6.4363630664897915
4,100.0,100.0,22.239163858148224,0.0,0.11434828208615741,6.2926026523204195
4,-100.0,50.0,22.926060788698113,0.0,0.12858345416791508,6.188030679096412
4,100.0,100.0,23.576022840273048,0.0,0.14429142864474487,6.091672971309414
4,100.0,50.0,24.13428023277359,0.0,0.15803579526443237,6.014139689699624
4,-100.0,50.0,24.636060078794202,0.0,0.1718657169059527,5.925383135835958
4,-50.0,75.0,25.0,0.0,0.18335653458135287,5.845459020638169
4,100.0,100.0,25.493416884550093,0.0,0.19841820089791218,5.753945775175507
4,100.0,100.0,26.07820614629682,0.0,0.216873343969595,5.658095368207338
4,100.0,100.0,26.322423627217084,0.0,0.22551027005319,5.642858085775741
4,100.0,50.0,26.765035833736135,0.0,0.24124634379497115,5.547479913830658
4,-100.0,50.0,27.131071796929334,0.0,0.2549050310001344,5.482427294767714
4,100.0,100.0,27.54963432548749,0.0,0.2709775203932999,5.4151872239727705
4,100.0,50.0,28.019885788876422,0.0,0.2897764679709257,5.337667911136456
4,100.0,50.0,28.458196951354786,0.0,0.30932268324969736,5.229687716241607
4,-100.0,50.0,29.022417411023717,0.0,0.3333170442521828,5.1588969539943035
4,100.0,100.0,29.452266192001247,0.0,0.35173609723923427,5.082383753751814
4,100.0,50.0,29.76504158816024,0.0,0.36701743373712997,5.029671430589534
