step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3X4,0.8702193254969612,74.02422074255473,138.44152818757888,20.0
2,X1X2X3X4,0.03628844844029609,138.44152818757888,143.46535644520964,20.0
3,X1X2X3X4,0.04114057564310797,143.46535644520964,149.36760379420923,20.0
4,X1X2X3X4,0.015860811154854073,149.36760379420923,151.73669515064225,20.0
5,X1X2X3X4,0.007446193904677504,151.73669515064225,152.86655600518887,20.0
6,X1X2X3X4,0.004865817699328065,152.86655600518887,153.61037679903424,20.0
7,X1X2X3X4,0.0030052756273103113,153.61037679903424,154.07201832053033,20.0
