step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.4033136777597806,1337.9965276780135,1877.6288280856493,20.0,0.2499251365661621
2,X1X2X3X4,0.043666166340476015,1877.6288280856493,1959.6176808185103,20.0,0.23788213729858398
3,X1X2X3X4,0.01632526675867094,1959.6176808185103,1991.6089622028805,20.0,0.2301771640777588
4,X1X2X3X4,0.01751566124795778,1991.6089622028805,2026.493310123223,20.0,0.24083805084228516
5,X1X2X3X4,0.005575675080849614,2026.493310123223,2037.7923783739855,20.0,0.25525498390197754
6,X1X2X3X4,0.005762892278735953,2037.7923783739855,2049.535956336984,20.0,0.26418018341064453
7,X1X2X3X4,0.0,2049.535956336984,2049.535956336984,20.0,0.30289316177368164
8,X1X2X3X4,0.007236196903038231,2049.535956336984,2064.366802076895,20.0,0.3234121799468994
9,X1X2X3X4,0.0016346370227328518,2064.366802076895,2067.7412924800706,20.0,0.5175340175628662
10,X1X2X3X4,0.0009454790994929171,2067.7412924800706,2069.696298655269,20.0,0.43348193168640137
