type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv
0,,,,
1,"['X1', 'X2', 'Z1', 'Z2']",0.02927451768575083,701.7530405690571,722.2965223662254
1,"['X1', 'X2', 'Z1', 'Z2']",0.005999331097892799,722.2965223662254,726.6298183547569
1,"['X1', 'X2', 'Z1', 'Z2']",0.0026247598832698457,726.6298183547569,728.5370471519622
1,"['X1', 'X2', 'Z1', 'Z2']",0.002382986828916951,728.5370471519622,730.2731413397033
1,"['X1', 'X2', 'Z1', 'Z2']",0.0012566862129239284,730.2731413397033,731.1908655280936
1,"['X1', 'X2', 'Z1', 'Z2']",0.0007749080712602867,731.1908655280936,731.7574712314231
1,"['X1', 'X2', 'Z1', 'Z2']",0.0007208142872096556,731.7574712314231,732.2849324714591
1,"['X1', 'X2', 'Z1', 'Z2']",0.0005288443983994892,732.2849324714591,732.672197256029
1,"['X1', 'X2', 'Z1', 'Z2']",0.0004418652307484654,732.672197256029,732.9959396255325
1,"['X1', 'X2', 'Z1', 'Z2']",0.00041198003801557793,732.9959396255325,733.2979193206047
1,"['X1', 'X2', 'Z1', 'Z2']",0.0003338162049607241,733.2979193206047,733.5427060491379
1,"['X1', 'X2', 'Z1', 'Z2']",0.00032584850865193936,733.5427060491379,733.7817298459365
1,"['X1', 'X2', 'Z1', 'Z2']",0.00016493231059744654,733.7817298459365,733.9027541621142
1,"['X1', 'X2', 'Z1', 'Z2']",0.00021011634103423562,733.9027541621142,734.0569591234937
1,"['X1', 'X2', 'Z1', 'Z2']",0.00011241821304247099,734.0569591234937,734.1394804951098
1,"['X1', 'X2', 'Z1', 'Z2']",0.00018577503126541124,734.1394804951098,734.2758652800519
1,"['X1', 'X2', 'Z1', 'Z2']",0.00014263664667665807,734.2758652800519,734.380599927211
1,"['X1', 'X2', 'Z1', 'Z2']",0.00010863750774313384,734.380599927211,734.460381205322
1,"['X1', 'X2', 'Z1', 'Z2']",5.654503416743683e-05,734.460381205322,734.5019112926719
