step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X2X3,0.5214194955080147,905.641031372299,1377.8599210618013,10.0
2,X1X2X3,0.4663647425395456,1376.0061976980503,2017.7269738203206,15.0
3,X1X2X3,0.022469728354187955,2017.7269738203206,2063.064750814981,15.0
4,X2X3,0.021836109002449127,1377.8599210618013,1407.9470204882127,10.0
5,X2X3,0.014825402554462727,1407.9470204882127,1428.8204018423069,10.0
6,X1X2X3,0.0041712141209430086,2063.064750814981,2071.670235636,15.0
7,X2X3,0.0037158226798594952,1428.8204018423069,1434.1296450969185,10.0
8,X1X2X3,0.0029371412837804873,2071.670235636,2077.755023811466,15.0
9,X1X2X3,0.014201703680773291,2077.755023811466,2107.2626849808744,15.0
10,X1X2X3,0.002531635787864957,2107.2626849808744,2112.5975066086044,15.0
11,X1X2X3,0.003780763633280067,2112.5975066086044,2120.5847384333483,15.0
12,X1X2X3,0.0042446631838193045,2120.5847384333483,2129.5859064007454,15.0
13,X1X2X3,0.003093303648867279,2129.5859064007454,2136.173362255591,15.0
14,X1X2X3,0.006306345619317181,2136.173362255591,2149.644809780754,15.0
15,X1X2X3,0.0016180202370495189,2149.644809780754,2153.1229785854475,15.0
