iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2
0,0.0,50.0,20.0,1.0,0.07605149274417189,7.182315561911519
0,-100.0,75.0,22.5,0.25,0.11988892052198244,6.381409805230171
0,100.0,87.5,25.0,0.75,0.18253913518411563,6.254213637031052
0,-50.0,100.0,27.5,0.0,0.2698038190774117,5.4312319695192866
0,50.0,62.5,30.0,0.5,0.3773624013505859,5.25539190042076
1,75.3092584943279,74.92255347022922,20.001993237429925,0.45656508090050074,0.07586174404269945,6.893461182195974
1,99.99999999995822,99.99999997230714,20.0,9.35388439896666e-12,0.07608322992061736,6.652447968008443
1,-100.0,75.0,22.5,0.25,0.11988892052198244,6.381409805230171
1,100.0,87.5,25.0,0.75,0.18253913518411563,6.254213637031052
1,-50.0,100.0,27.5,0.0,0.2698038190774117,5.4312319695192866
1,7.840858095991663,55.03082220613245,28.76149503697521,0.10855574567200632,0.3224095879653698,5.264630938101362
1,-44.56172322483716,84.85306280685157,29.696217247109225,0.10821448352221846,0.3639223773536888,5.108908105206213
2,75.3092584943279,74.92255347022922,20.001993237429925,0.45656508090050074,0.07586174404269945,6.893461182195974
2,99.99999999995822,99.99999997230714,20.0,9.35388439896666e-12,0.07608322992061736,6.652447968008443
2,-100.0,75.0,22.5,0.25,0.11988892052198244,6.381409805230171
2,100.0,87.5,25.0,0.75,0.18253913518411563,6.254213637031052
2,-50.0,100.0,27.5,0.0,0.2698038190774117,5.4312319695192866
2,7.840858095991663,55.03082220613245,28.76149503697521,0.10855574567200632,0.3224095879653698,5.264630938101362
2,-44.56172322483716,84.85306280685157,29.696217247109225,0.10821448352221846,0.3639223773536888,5.108908105206213
2,-99.99999996891064,50.00000008006827,29.99999999991769,8.319167796716566e-12,0.3776861382348933,4.988080176409223
3,75.3092584943279,74.92255347022922,20.001993237429925,0.45656508090050074,0.07586174404269945,6.893461182195974
3,99.99999999995822,99.99999997230714,20.0,9.35388439896666e-12,0.07608322992061736,6.652447968008443
3,54.39242532246237,62.88888404217783,20.836793485941364,0.0020497589888162637,0.0886996596545963,6.518344007421821
3,-100.0,75.0,22.5,0.25,0.11988892052198244,6.381409805230171
3,100.0,87.5,25.0,0.75,0.18253913518411563,6.254213637031052
3,70.13709695881064,66.25538081258833,27.425175523288054,0.06643059044587762,0.26651230981598756,5.477381643966436
3,-50.0,100.0,27.5,0.0,0.2698038190774117,5.4312319695192866
3,7.840858095991663,55.03082220613245,28.76149503697521,0.10855574567200632,0.3224095879653698,5.264630938101362
3,-44.56172322483716,84.85306280685157,29.696217247109225,0.10821448352221846,0.3639223773536888,5.108908105206213
3,-99.99999996891064,50.00000008006827,29.99999999991769,8.319167796716566e-12,0.3776861382348933,4.988080176409223
4,75.3092584943279,74.92255347022922,20.001993237429925,0.45656508090050074,0.07586174404269945,6.893461182195974
4,99.99999999995822,99.99999997230714,20.0,9.35388439896666e-12,0.07608322992061736,6.652447968008443
4,-87.24037970198584,99.83121486398665,20.098592011081067,0.0032551800300975107,0.07765320474703753,6.651669904310767
4,54.39242532246237,62.88888404217783,20.836793485941364,0.0020497589888162637,0.0886996596545963,6.518344007421821
4,-100.0,75.0,22.5,0.25,0.11988892052198244,6.381409805230171
4,100.0,87.5,25.0,0.75,0.18253913518411563,6.254213637031052
4,70.13709695881064,66.25538081258833,27.425175523288054,0.06643059044587762,0.26651230981598756,5.477381643966436
4,-50.0,100.0,27.5,0.0,0.2698038190774117,5.4312319695192866
4,7.840858095991663,55.03082220613245,28.76149503697521,0.10855574567200632,0.3224095879653698,5.264630938101362
4,-44.56172322483716,84.85306280685157,29.696217247109225,0.10821448352221846,0.3639223773536888,5.108908105206213
4,-99.99999996891064,50.00000008006827,29.99999999991769,8.319167796716566e-12,0.3776861382348933,4.988080176409223
