step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.4397989345395538,928.0472892376865,1336.2014982467422,20.0,0.6845459938049316
2,X1X2X3X4,0.05437392052056471,1336.2014982467422,1408.85601231187,20.0,0.6562290191650391
3,X1X2X3X4,0.0,1408.85601231187,1408.85601231187,20.0,0.7106618881225586
4,X1X2X3X4,0.01850395344338947,1408.85601231187,1434.9254183721282,20.0,0.7636821269989014
5,X1X2X3X4,0.03398286383385761,1434.9254183721282,1483.6882934764094,20.0,0.6897139549255371
6,X1X2X3X4,0.0,1483.6882934764094,1483.6882934764094,20.0,0.7467849254608154
7,X1X2X3X4,0.0003502749141713678,1483.6882934764094,1484.207992266064,20.0,0.7108101844787598
8,X1X2X3X4,0.0,1484.207992266064,1484.207992266064,20.0,0.7393689155578613
9,X1X2X3X4,0.00043000558296132755,1484.207992266064,1484.8462099890141,20.0,0.8081772327423096
10,X1X2X3X4,0.0,1484.8462099890141,1484.8462099890141,20.0,0.7723281383514404
