step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3X4,0.3689804421518673,1368.0493329722801,1872.8327807379592,20.0
2,X1X2X3X4,0.07908195351933446,1872.8327807379592,2020.9400556537644,20.0
3,X1X2X3X4,0.017746873040672143,2020.9400556537644,2056.8054222442606,20.0
4,X1X2X3X4,0.011266020520701322,2056.8054222442606,2079.977434338354,20.0
5,X1X2X3X4,0.005385397777597789,2079.977434338354,2091.1789401906935,20.0
6,X1X2X3X4,0.009522269213948739,2091.1789401906935,2111.0917090337293,20.0
7,X1X2X3X4,0.0005789162658991706,2111.0917090337293,2112.313854362894,20.0
8,X1X2X3X4,0.004381271427931639,2112.313854362894,2121.568474699838,20.0
9,X1X2X3X4,0.006599171131516484,2121.568474699838,2135.5690681316128,20.0
10,X1X2X3X4,0.004412116086464281,2135.5690681316128,2144.991446770872,20.0
