step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.24162933474173007,1337.9965276780135,1661.2957385475968,20.0,3.2824289798736572
2,X1X2X3X4,0.01408413930210427,1661.2957385475968,1684.6936591512933,20.0,4.355014085769653
3,X1X2X3X4,0.008324590533090783,1684.6936591512933,1698.7180440374223,20.0,17.662800073623657
4,X1X2X3X4,0.0003446045640967162,1698.7180440374223,1699.303430028511,20.0,7.412798881530762
5,X1X2X3X4,0.09692526761867232,1699.303430028511,1864.0088697493522,20.0,4.1688292026519775
6,X1X2X3X4,0.00894625390646736,1864.0088697493522,1880.6847663820372,20.0,5.275051116943359
7,X1X2X3X4,0.001261676242255806,1880.6847663820372,1883.0575816709538,20.0,4.198535203933716
8,X1X2X3X4,0.03171218649103492,1883.0575816709538,1942.7734548742603,20.0,4.904272794723511
9,X1X2X3X4,0.0,1942.7734548742603,1942.7734548742603,20.0,2.5019750595092773
10,X1X2X3X4,0.0031034948685033743,1942.7734548742603,1948.8028423221272,20.0,15.044723272323608
