type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3,0.38730387811465444,2375.6395278152495,3295.733929940562,30.0
1,X2X3,0.2276943447152909,1101.6640345591084,1352.5067050044481,20.0
1,X1X2X3,0.022122463726989366,3295.733929940562,3368.6436842594803,30.0
1,X1X2X3,0.0187737653195294,3368.6436842594803,3431.8858102328827,30.0
1,X2X3,0.01288857031505605,1352.5067050044481,1369.9385827734827,20.0
1,X2X3,0.00557902415576545,1369.9385827734827,1377.581503218691,20.0
1,X1X2X3,0.0011937947484625935,3431.8858102328827,3435.982777490462,30.0
1,X1X2X3,0.001131774453162243,3435.982777490462,3439.871535019531,30.0
1,X2X3,0.000985526075098674,1377.581503218691,1378.9391457106867,20.0
1,X2X3,0.0005914319532597532,1378.9391457106867,1379.7546943830607,20.0
1,X2X3,0.0007783153323652899,1379.7546943830607,1380.828578616602,20.0
1,X1X2X3,0.0005302930410317457,3439.871535019531,3441.695674956595,30.0
1,X1X2X3,0.0014819046375380033,3441.695674956595,3446.795939738308,30.0
1,X1X2X3,0.00022040617038072535,3446.795939738308,3447.5556348314694,30.0
1,X1X2X3,0.000203896538684383,3447.5556348314694,3448.2585794923334,30.0
1,X2X3,0.0001745931435489219,1380.828578616602,1381.069661818845,20.0
1,X2X3,0.00019041515319512885,1381.069661818845,1381.3326384100733,20.0
1,X2X3,0.0003132020919094224,1381.3326384100733,1381.765274682046,20.0
1,X2X3,0.0003047497201383866,1381.765274682046,1382.1863672628024,20.0
1,X2X3,0.00040815134926671206,1382.1863672628024,1382.7505084935387,20.0
1,X2X3,0.005575516154219193,1382.7505084935387,1390.4600562908993,20.0
1,X2X3,0.003229630429905063,1390.4600562908993,1394.9507284002639,20.0
1,X2X3,0.0008985409299213271,1394.9507284002639,1396.204148724955,20.0
1,X2X3,0.0007136742190849419,1396.204148724955,1397.2005836304795,20.0
1,X2X3,0.0004926385885481592,1397.2005836304795,1397.888898553918,20.0
1,X1X2X3,0.00016892243762723928,3448.2585794923334,3448.8410677371503,30.0
1,X1X2X3,0.00013347223871753262,3448.8410677371503,3449.301392275442,30.0
1,X1X2X3,0.00011046297371571975,3449.301392275442,3449.6824123644747,30.0
1,X1X2X3,9.004156655570281e-05,3449.6824123644747,3449.9930271730036,30.0
1,X1X2X3,7.9748050088308e-05,3449.9930271730036,3450.268157389739,30.0
1,X1X2X3,0.0001170233395511218,3450.268157389739,3450.6719192918636,30.0
1,X1X2X3,6.67251302562664e-05,3450.6719192918636,3450.90216582515,30.0
