step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,ciweightbmiaspirin,0.15725289090869987,0.30069922198708865,0.3479850439385552,40.0,6.043974876403809
2,ciweightbmiaspirin,0.16920181498887885,0.3479850439385552,0.4068647449619435,40.0,6.129009962081909
3,ciweightbmiaspirin,0.0542116625264656,0.4068647449619435,0.4289215592097369,40.0,6.0528199672698975
