iterID,x1,x2,x3,f1,f2,f3,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Expected_f3,Uncertainty_f3,Acquisition_f3,Hypervolume_indicator
0,4.473684210526316,1.5789473684210527,-2.8947368421052633,22.511041064005404,42.2463584330994,70.70212237528384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,3.9473684210526314,0.5263157894736842,-2.368421052631579,15.857172290442444,56.63805503456027,89.75005430484488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,0.5263157894736842,3.6842105263157894,2.894736842105263,13.848002367046572,91.48181074644748,39.75889133983817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,1.0526315789473684,4.7368421052631575,5.0,23.544776075541293,80.121520483228,27.7625379752143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,4.7368421052631575,1.0526315789473684,2.3684210526315788,23.547804780554806,43.281508819207396,80.2278447652228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,2.631578947368421,4.473684210526316,3.421052631578947,26.934332502468244,54.570021445532156,30.74318086978847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,1.5789473684210527,3.4210526315789473,1.3157894736842106,14.184758644062903,73.40757210750374,43.310648207066194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,2.3684210526315788,1.3157894736842104,3.947368421052632,7.3405263325690076,71.81943752963227,75.42961364753897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,0.7894736842105263,0.0,-1.3157894736842106,0.6263387993124246,109.84434918876144,99.99861327110087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,2.894736842105263,2.3684210526315788,-0.2631578947368425,13.991931576636736,57.41397207196753,58.2305580273778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,0.2631578947368421,3.1578947368421053,-4.473684210526316,10.042215477449842,98.20501266287665,47.24659335524185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,4.2105263157894735,3.9473684210526314,-0.7894736842105265,33.30885736456753,34.62382204661796,36.587718798036704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,5.0,2.1052631578947367,0.2631578947368416,29.433863883475844,33.37744121795927,62.33593498326446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,1.3157894736842104,1.8421052631578947,-3.947368421052632,5.124952556931727,85.38981888780317,66.48145742201316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,3.1578947368421053,5.0,-1.8421052631578947,34.97675583410058,46.8104439869958,25.028990170406857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,3.4210526315789473,2.631578947368421,-3.4210526315789473,18.63016796180993,48.89353643594674,54.40521301200886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,3.6842105263157894,0.7894736842105263,4.473684210526315,14.195569031979423,57.616905400530634,85.1262052642844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,0.0,0.2631578947368421,-5.0,0.06926822121575797,122.4293123504873,94.49002307060047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,2.1052631578947367,4.2105263157894735,0.7894736842105257,22.16391752279601,62.946070197649426,33.38474547951658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
0,1.8421052631578947,2.894736842105263,1.8421052631578947,11.781709835824785,70.9946048257675,50.65625214617962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116178.66809969592
1,3.4350540385416357,3.430950418898631,1.1759704553455723,23.534924744784686,45.59377342245718,43.277991491225755,23.590642823434926,0.010541188468118662,0.6673809765379701,45.56452420945589,0.00404807859786051,-0.89370257687915,43.21637397723106,0.0019406018678695327,-0.6731457811890778,126149.99701007335
1,1.7340698231469682,2.3682007469340234,0.9275227456695223,8.585183221107853,75.28103164587681,58.63427583741232,8.625826020070562,0.004482901597855872,-0.8726836635360087,75.24227209379659,0.001644332340001501,0.33757789640003466,58.25499693136664,0.001310165025314988,-0.014362398223170203,126149.99701007335
1,0.470448559703332,1.8612648654196047,2.4084174771318088,3.682452945126521,100.7427186498725,67.45104950529048,3.708657404654341,0.030616319942696632,-1.378721098767528,100.70994643362687,0.01130961186464502,1.394189410072613,66.20478747192769,0.0041877898434334385,0.3338869010746066,126149.99701007335
1,1.961345849588601,4.815099845295283,-5.0,27.059979316317662,64.64779560875365,24.350591839543846,27.16315610354239,0.015636695868931266,1.035036755501551,64.72674765297332,0.006992714007971212,-0.09869374930349295,26.517351188193395,0.0072928686625080685,-1.4046648011643583,126149.99701007335
1,0.545107002067145,4.368828599581115,1.6119651565123991,19.270684054741597,89.62894885110055,31.562390195523232,19.36566031466625,0.01352998804350728,0.2325780482974551,89.72971524033291,0.004859333562841636,0.938637852957072,31.459336039780382,0.0024017337694576877,-1.188175731053093,126149.99701007335
