iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2
0,1.25,-1.0,0.0,-1.0,0.05104314446729993,95.08623020639364
0,0.5,2.0,-1.0,0.5,6.209434520542861,56.280224632177976
0,2.0,1.25,0.5,-0.5,10.587040401075834,45.54737160821703
1,1.25,-1.0,0.0,-1.0,0.05104314446729993,95.08623020639364
1,1.8817851938588843,-1.0,-1.0,-1.0,0.7863490329163008,83.14257395259332
1,2.0,-0.7245651683198688,-1.0,-1.0,1.644747839998902,76.05484926396484
1,-0.08954890065444943,2.0,-1.0,-1.0,3.6229321216415933,65.40582129295603
1,0.5,2.0,-1.0,0.5,6.209434520542861,56.280224632177976
1,0.8357194801982559,2.0,-1.0,-1.0,7.970089600818976,51.36125709453
1,1.2199063710879416,2.0,-1.0,-1.0,10.285817387690926,45.99788909150739
1,2.0,1.25,0.5,-0.5,10.587040401075834,45.54737160821703
2,1.25,-1.0,0.0,-1.0,0.05104314446729993,95.08623020639364
2,1.490162928892417,-1.0,0.993854403323994,-1.0,0.2133827545326839,90.43610744963169
2,1.8817851938588843,-1.0,-1.0,-1.0,0.7863490329163008,83.14257395259332
2,2.0,-0.7245651683198688,-1.0,-1.0,1.644747839998902,76.05484926396484
2,2.0,-0.4845028222304375,-1.0,-1.0,2.362455203682738,71.99408032907381
2,-0.08954890065444943,2.0,-1.0,-1.0,3.6229321216415933,65.40582129295603
2,0.2180070954313198,2.0,-1.0,-1.0,4.863310671860115,60.53349827111772
2,0.5,2.0,-1.0,0.5,6.209434520542861,56.280224632177976
2,0.6703435358065968,2.0,-1.0,-1.0,7.134217762215812,53.724773347367844
2,0.8357194801982559,2.0,-1.0,-1.0,7.970089600818976,51.36125709453
2,1.0379133578130668,2.0,-1.0,-1.0,9.204507026841549,48.515858224871636
2,1.2199063710879416,2.0,-1.0,-1.0,10.285817387690926,45.99788909150739
2,2.0,1.25,0.5,-0.5,10.587040401075834,45.54737160821703
3,1.25,-1.0,0.0,-1.0,0.05104314446729993,95.08623020639364
3,1.490162928892417,-1.0,0.993854403323994,-1.0,0.2133827545326839,90.43610744963169
3,1.8817851938588843,-1.0,-1.0,-1.0,0.7863490329163008,83.14257395259332
3,2.0,-0.9178997794127216,1.0,-1.0,1.2071244645710593,79.57656553793613
3,2.0,-0.7245651683198688,-1.0,-1.0,1.644747839998902,76.05484926396484
3,2.0,-0.4845028222304375,-1.0,-1.0,2.362455203682738,71.99408032907381
3,-0.27868659140459084,2.0,1.0,1.0,2.9735188412066447,68.53339500053951
3,-0.08954890065444943,2.0,-1.0,-1.0,3.6229321216415933,65.40582129295603
3,0.06756986151365285,2.0,1.0,1.0,4.250579467899616,62.98786426940148
3,0.2180070954313198,2.0,-1.0,-1.0,4.863310671860115,60.53349827111772
3,0.353631613440216,2.0,1.0,1.0,5.566730006431614,58.48840224042822
3,0.5,2.0,-1.0,0.5,6.209434520542861,56.280224632177976
3,0.6703435358065968,2.0,-1.0,-1.0,7.134217762215812,53.724773347367844
