iterID,x1,x2,x3,x4,x5,x6,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,12.5,37.5,15000.0,30022.5,33.0,100.0,-45022.5,29468.18925729468,0.0,0.0,0.0,0.0,0.0,0.0,2388312449.0926423
0,50.0,50.0,45000.0,60045.0,16.5,50.0,-105045.0,47446.10501047721,0.0,0.0,0.0,0.0,0.0,0.0,2388312449.0926423
0,0.0,12.5,30000.0,45033.75,24.75,75.0,-75033.75,29717.482268228876,0.0,0.0,0.0,0.0,0.0,0.0,2388312449.0926423
0,37.5,0.0,0.0,15011.25,8.25,25.0,-15011.25,17198.876863209058,0.0,0.0,0.0,0.0,0.0,0.0,2388312449.0926423
0,25.0,25.0,60000.0,0.0,0.0,0.0,-60000.0,283.5417709702961,0.0,0.0,0.0,0.0,0.0,0.0,2388312449.0926423
1,0.0,50.0,60000.0,47023.25642100537,0.0,0.0,-107023.25642100537,42774.86969075742,-104575.92704761893,0.25861782162312935,-1.484557421543741,23052.8926026751,0.4303350757564222,-0.1134184558770368,2771837566.006078
1,0.0,50.0,60000.0,23064.650399686136,0.0,0.0,-83064.6503996861,29022.446086276992,-81525.19529136404,0.2330634169737896,-0.7164877764368107,9339.147143787017,0.430474383861971,-0.992197500642737,2771837566.006078
1,0.0,50.0,60000.0,59636.55754079404,0.0,0.0,-119636.55754079408,54914.21931064453,-115361.40576011952,0.2298034523067694,-1.8439385854311219,28638.726371937442,0.4749843653278701,0.24452268271912558,2771837566.006078
1,0.0,50.0,60000.0,49.32693885595393,0.0,0.0,-60049.326938855935,6935.251854150282,-60348.343667542074,0.06635401327730404,-0.010857383302873558,-4037.8564000286606,0.32331516200698557,-1.849398068591361,2771837566.006078
1,0.0,50.0,60000.0,34782.58652262972,0.0,0.0,-94782.58652262972,33207.33447113479,-92970.24009051072,0.2692462430022899,-1.097846233516081,16439.1070989015,0.4371359246184598,-0.5372309092082688,2771837566.006078
2,50.0,0.0,60000.0,44712.246841358865,33.0,100.0,-104712.24684135886,42207.548584364,-104975.1529775176,0.1513713425265984,-0.9347570418262876,26423.54898106594,0.1999776087989739,-0.1635823458186323,3318231611.586352
2,50.0,0.0,60000.0,255.5478775334577,0.0,0.0,-60255.54787753346,-2208.2516050893923,-60255.98235491337,0.01244242517112179,0.5315391132662626,-4050.3846686463803,0.11282935243427608,-2.0283299818120684,3318231611.586352
2,7.899668773275688,0.0,60000.0,12539.973132239935,0.0,0.0,-72539.97313223992,6966.558582283076,-72592.97620365692,0.03285032535545084,0.12702162347477497,11713.574698601122,0.18585272198289135,-1.0637086663669955,3318231611.586352
2,23.360390268209677,0.0,60000.0,59568.98533346576,33.0,100.0,-119568.98533346575,40975.25942544971,-119863.87158840627,0.15619623069773111,-1.4229429931633604,34635.73081655262,0.3842050932397292,0.338933897738805,3318231611.586352
2,33.387509201799276,0.0,60000.0,20923.963939689675,0.0,0.0,-80923.96393968967,22671.51828710866,-80888.87750051165,0.025154930906934058,-0.14499254864085742,20193.422298991518,0.23541021486161184,-0.5448135362477542,3318231611.586352
3,0.0,0.0,60000.0,7458.062268448032,0.0,0.0,-67458.06226844805,10525.13344137311,-67452.44846262403,0.0017442768108551442,0.4490104191268074,349.63462517178414,0.07986744094579187,-1.5403567967152663,3402454188.827725
3,0.0,0.0,47308.77443507755,60045.0,33.0,100.0,-107353.77443507755,50068.77229016075,-107581.1465234448,0.013740700982526648,-0.9669000596404658,37366.99640494097,0.15958702837593483,0.6176562105015261,3402454188.827725
3,0.0,0.0,60000.0,16677.60382797869,0.0,0.0,-76677.6038279787,11824.706141616864,-76685.82037125503,0.002161693301132533,0.12321793964065364,14654.363930050553,0.04625842487275772,-0.7064294064193257,3402454188.827725
3,0.0,0.0,60000.0,26173.916027583262,0.0,0.0,-86173.91602758327,24007.058458956017,-86201.82575022915,0.005461457258587831,-0.21254704609782493,29860.532623928255,0.13102615839072196,0.18004948493308426,3402454188.827725
3,0.0,0.0,60000.0,10070.979828033454,0.0,0.0,-70070.97982803348,13203.462046866905,-70067.7592822338,0.0009501077467955984,0.35673117325876547,3253.2634011716,0.04517977052993517,-1.3710830190750367,3402454188.827725
4,0.0,0.0,60000.0,43275.79472706543,27.781162974064454,84.18534234563191,-103275.79472706538,41297.05378270551,-103315.29553308064,0.013714663500379469,-0.8907888908188397,25041.48259361165,0.1156188646938998,-0.03100050933102816,3538134753.817818
4,3.6848447367260047,0.0,60000.0,48266.492004556516,23.532925507829592,71.31189547826288,-108266.49200455657,41268.770271908485,-108316.05133391556,0.010728750390631326,-1.0862088677031352,32353.053169774852,0.22345091716172383,0.40571050152817234,3538134753.817818
4,20.093241094894644,0.0,60000.0,8339.284708579391,3.9594482075997317,13.580360951377127,-68339.2847085794,2201.666535146485,-68348.18712731818,0.005497357247927849,0.4756588599839233,1908.7066921968035,0.22748648562781612,-1.4126924239001548,3538134753.817818
4,9.682210810067653,0.0,60000.0,21471.38824013045,19.386588680391114,70.0318476888969,-81471.38824013041,6887.06537591948,-81511.03572114334,0.026042392700451632,-0.03872009999395232,14682.37632718088,0.20296066978710955,-0.64973703414275,3538134753.817818
