iterID,x1,x2,x3,x4,x5,x6,x7,x8,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
17,0.0,2.0446327139394875,5.0,5.0,4.707482337727117,4.055587677498031,5.0,1.2726956625082095,8.361045869823103,13.914974209644093,8.361344094076182,0.0,-0.7666087652360147,13.920078910001008,0.001291396214299295,0.05950579745331197,4230.945165020732
17,0.0,3.083851602005035,5.0,5.0,3.2029922866547036,1.5122285449262463,5.0,4.044277523204942,19.020281406378004,9.495482879964388,19.02025811482482,0.0048409537462291916,-0.14043104416850838,9.495297244585368,0.0,-0.34644357848446816,4230.945165020732
17,0.0,2.184465476028086,5.0,5.0,1.0128404780576097,1.8870056587693926,5.0,2.6002361503608658,9.54377883191725,13.079442248598896,9.543886951699998,0.005149708807109077,-0.6971380864961247,13.081874257487888,0.0006883084852149749,-0.01739486823498737,4230.945165020732
18,0.102756576880053,4.910761784824624,5.0,5.0,2.7295621905276635,0.0,3.111078404509957,2.0417279261050814,49.250892314435696,-0.4044271110762949,49.262083852809866,0.0,1.6445367165679272,-0.41048905702507454,0.0003742961948615201,-1.255891872508073,4231.141285056559
18,0.0,4.649957327840713,5.0,5.0,2.385027485326151,0.0,4.276504691882478,0.6725817862314699,43.24420630147912,2.1109386511963613,43.24428700218048,0.0,1.2892616964120407,2.111484730418912,0.0006583747819941266,-1.0214590066643723,4231.141285056559
18,0.0,0.6801617148759085,5.0,3.339643960942587,1.8349284874837233,2.0857011888309236,5.0,0.9129288424419456,0.9252399167658741,22.045485626483245,0.9221383528092737,0.001404805176849984,-1.209327502868291,22.05261464679628,0.007428187093024289,0.8321908043417352,4231.141285056559
18,0.0,3.9708034464042825,5.0,5.0,2.998204973355744,0.0,4.757494560389415,2.7194098791474373,31.534560019952213,5.086700803920333,31.534578141516654,0.0,0.5979510465590465,5.086557900844607,0.00043849837164034534,-0.7449077859855606,4231.141285056559
18,0.0,4.2171682762284695,5.0,5.0,4.555471581124447,0.0,4.017014071616509,4.992019495718778,35.5690165400556,3.0393466043444226,35.56897376830846,0.0,0.8361312349572927,3.0407853450927735,0.0005395752949397309,-0.9350748390679655,4231.141285056559
18,0.0,1.3813005662939655,5.0,3.3512262404301865,1.538029879264433,2.128460742493317,5.0,1.0740827783698785,3.8159825088880566,19.037183579255736,3.8152270371976833,0.002227513676579728,-1.0385270976416905,19.036324852744062,0.0005747758903815608,0.551808246777,4231.141285056559
18,0.0,2.4345811410054643,5.0,4.799424230230326,3.050215320454517,0.8990704413679738,5.0,2.114604891652453,11.854370664278939,12.47856648059437,11.854332995593767,0.00173891512474792,-0.5639192631971355,12.478630238265719,0.0007759785964059515,-0.05776951705774991,4231.141285056559
