step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3X4,0.9909952405097773,928.7232328432881,1849.0835363418403,20.0
2,X1X2X3X4,0.14181928303830987,1849.0835363418403,2111.3192377437827,20.0
3,X1X2X3X4,0.022516811870921995,2111.3192377437827,2158.859415819518,20.0
4,X1X2X3X4,0.010941080920310967,2158.859415819518,2182.4796713835744,20.0
5,X1X2X3X4,0.015228774769753848,2182.4796713835744,2215.7161627386413,20.0
6,X1X2X3X4,0.012057857232350774,2215.7161627386413,2242.432951896356,20.0
7,X1X2X3X4,0.005163547742022126,2242.432951896356,2254.0118615017564,20.0
8,X1X2X3X4,0.0030492570582246886,2254.0118615017564,2260.8849230797628,20.0
9,X1X2X3X4,0.0015638328197199822,2260.8849230797628,2264.420569124085,20.0
10,X1X2X3X4,0.0014265627395315937,2264.420569124085,2267.6509071346263,20.0
