step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X2X3,0.3459614443531058,993.3871404185552,1337.06079031956,10.0,6.120300054550171
2,X1X2X3,0.30374092916620055,1604.548494370848,2091.9155449432774,15.0,2.7088611125946045
3,X2X3,0.03304056436651422,1337.06079031956,1381.2380334240559,10.0,3.1485788822174072
4,X1X2X3,0.023111312313637538,2091.9155449432774,2140.2624584362147,15.0,2.730863094329834
5,X1X2X3,0.014594426416094741,2140.2624584362147,2171.498361396992,15.0,3.247497081756592
6,X1X2X3,0.022798760839441018,2171.498361396992,2221.00583320172,15.0,4.250524044036865
7,X2X3,0.010115458097116206,1381.2380334240559,1395.2098888733,10.0,3.464343786239624
8,X1X2X3,0.002263188581696466,2221.00583320172,2226.0323882433036,15.0,2.961266040802002
9,X1X2X3,0.004807360670839047,2226.0323882433036,2236.7337287985583,15.0,3.300004005432129
10,X1X2X3,0.014014775075966652,2236.7337287985583,2268.0810489124983,15.0,4.111774921417236
11,X1X2X3,0.004310288711960267,2268.0810489124983,2277.857133055437,15.0,3.867086887359619
12,X2X3,0.0021939737731877696,1395.2098888733,1398.2709427775803,10.0,5.001342058181763
13,X2X3,0.0014211717646945823,1398.2709427775803,1400.2581259608487,10.0,3.4289140701293945
14,X2X3,0.0008942597863556738,1400.2581259608487,1401.5103204934132,10.0,3.688607931137085
15,X2X3,0.000891501760213636,1401.5103204934132,1402.7597694110907,10.0,3.3854968547821045
16,X2X3,0.0005640391160979387,1402.7597694110907,1403.550980791527,10.0,3.6826140880584717
