iterID,x1,x2,x3,x4,x5,x6,ParetoFamily,Pareto_f1,Pareto_f2
1,0.0,0.0,60000.0,0.0,0.0,20.1103681854837,2,-65312.281225702245,-2826.916792566204
1,0.0,0.0,60000.0,790.1034422051557,0.0,0.0,2,-66074.59352614034,-2340.8137300350536
1,0.0,0.0,60000.0,1588.9295257651356,0.0,0.0,2,-66792.46794730013,-1876.5060931272455
1,0.0,0.0,60000.0,2357.504651479767,0.0,0.0,2,-67485.03152349591,-1424.9852111484433
1,0.0,0.0,60000.0,3015.537680549798,0.0,0.0,2,-68079.35586451445,-1034.7747284792204
1,0.0,0.0,60000.0,3886.3999091384458,0.0,0.0,2,-68867.71339778045,-513.3707327396332
1,0.0,0.0,60000.0,4554.336393255453,0.0,0.0,12,-69473.66684496346,-109.73721416418266
1,0.0,0.0,60000.0,5132.870801720297,0.0,0.0,12,-69999.35585777959,242.39835814023536
1,0.0,0.0,60000.0,5933.251793549202,0.0,0.0,12,-70727.81254509013,733.3025372130542
1,0.0,0.0,60000.0,6578.413778941606,0.0,0.0,12,-71315.91402534318,1132.0516408079711
1,0.0,0.0,60000.0,7269.41941678989,0.0,0.0,12,-71946.61998508514,1562.032204152616
1,0.0,0.0,60000.0,7819.499360943487,0.0,0.0,12,-72449.24107301091,1906.3846633492794
1,0.0,0.0,60000.0,8329.689239014484,0.0,0.0,12,-72915.79973684502,2227.341891096963
1,0.0,0.0,60000.0,9095.947682244667,0.0,0.0,9,-73617.14212090499,2712.1278739829395
1,0.0,0.0,60000.0,9706.463612341646,0.0,0.0,9,-74176.38883679142,3100.632862059283
1,0.0,0.0,60000.0,10142.760663709394,0.0,0.0,9,-74576.25356769952,3379.443517991149
1,0.0,0.0,60000.0,10765.356258352847,0.0,0.0,9,-75147.10576453518,3778.9252360307146
1,0.0,0.0,60000.0,11404.805293867981,0.0,0.0,9,-75733.64540419195,4191.114050468877
1,0.0,0.0,60000.0,11933.657137568205,0.0,0.0,9,-76218.86520384766,4533.389523188598
1,0.0,0.0,60000.0,12477.930303790785,0.0,0.0,19,-76718.30497700561,4886.882812622058
1,0.0,0.0,60000.0,13000.210544760383,0.0,0.0,19,-77197.58794758277,5227.21393072397
1,0.0,0.0,60000.0,13570.37627186391,0.0,0.0,9,-77720.79190002936,5599.936087449467
1,0.0,0.0,60000.0,14067.293171327394,0.0,0.0,9,-78176.72003175835,5925.730748444072
1,0.0,0.0,60000.0,14613.127593289215,0.0,0.0,9,-78677.42115437164,6284.563296491604
1,0.0,0.0,60000.0,15076.717016244977,0.0,0.0,9,-79102.55322545831,6590.075984926483
1,0.0,0.0,60000.0,15587.327915166297,0.0,0.0,9,-79570.63643304066,6927.322517601187
1,0.0,0.0,60000.0,16094.44598134209,0.0,0.0,12,-80035.30407629575,7262.98630581404
