iterID,x1,x2,x3,x4,x5,x6,Pareto_f1,Pareto_f2
0,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
0,25.0,50.0,45000.0,15011.25,24.75,25.0,-60011.25,17478.187016456148
0,0.0,25.0,15000.0,0.0,33.0,50.0,-15000.0,-3134.0389657047263
1,0.0,0.0,60000.0,59757.86873325119,0.0,0.0,-119757.86873325123,52609.40188803572
1,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
1,0.0,0.0,60000.0,14067.293171327394,0.0,0.0,-74067.29317132736,9863.449084910977
1,0.0,0.0,60000.0,1588.9295257651356,0.0,0.0,-61588.92952576514,-2339.4780741064837
1,0.0,25.0,15000.0,0.0,33.0,50.0,-15000.0,-3134.0389657047263
2,0.0,0.0,60000.0,59757.86873325119,0.0,0.0,-119757.86873325123,52609.40188803572
2,7.147663835327142,50.0,60000.0,50821.189039098375,0.0,100.0,-110821.18903909833,46558.5384836081
2,24.06837757279393,50.0,60000.0,48414.869335170675,0.0,100.0,-108414.86933517066,43439.51118301275
2,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
2,16.41783538191144,0.0,60000.0,17268.958015846398,0.0,100.0,-77268.95801584638,21010.051190318598
2,0.0,0.0,60000.0,14067.293171327394,0.0,0.0,-74067.29317132736,9863.449084910977
2,0.0,0.0,60000.0,1588.9295257651356,0.0,0.0,-61588.92952576514,-2339.4780741064837
2,0.0,25.0,15000.0,0.0,33.0,50.0,-15000.0,-3134.0389657047263
3,0.0,0.0,60000.0,59757.86873325119,0.0,0.0,-119757.86873325123,52609.40188803572
3,7.147663835327142,50.0,60000.0,50821.189039098375,0.0,100.0,-110821.18903909833,46558.5384836081
3,0.0,0.0,60000.0,49099.63064246437,0.0,0.0,-109099.63064246437,44060.170219585954
3,24.06837757279393,50.0,60000.0,48414.869335170675,0.0,100.0,-108414.86933517066,43439.51118301275
3,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
3,0.0,0.0,60000.0,20701.6813631902,0.0,0.0,-80701.6813631902,9451.282139602392
3,0.0,0.0,60000.0,5296.089757185996,0.0,0.0,-65296.089757186004,5136.065617931237
3,0.0,0.0,60000.0,1588.9295257651356,0.0,0.0,-61588.92952576514,-2339.4780741064837
3,0.0,25.0,15000.0,0.0,33.0,50.0,-15000.0,-3134.0389657047263
4,50.0,50.0,60000.0,60045.0,33.0,100.0,-120045.0,48684.62043957749
4,7.147663835327142,50.0,60000.0,50821.189039098375,0.0,100.0,-110821.18903909833,46558.5384836081
4,0.0,0.0,60000.0,49099.63064246437,0.0,0.0,-109099.63064246437,44060.170219585954
4,24.06837757279393,50.0,60000.0,48414.869335170675,0.0,100.0,-108414.86933517066,43439.51118301275
4,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
4,0.0,0.0,60000.0,23395.519434136266,0.0,0.0,-83395.51943413627,27094.55898205819
4,0.0,0.0,60000.0,20701.6813631902,0.0,0.0,-80701.6813631902,9451.282139602392
4,0.0,0.0,60000.0,5296.089757185996,0.0,0.0,-65296.089757186004,5136.065617931237
4,50.0,0.0,60000.0,4144.775410820773,31.715644860768492,42.79048206745969,-64144.77541082076,-2379.913821899327
4,0.0,25.0,15000.0,0.0,33.0,50.0,-15000.0,-3134.0389657047263
5,50.0,50.0,60000.0,60045.0,33.0,100.0,-120045.0,48684.62043957749
5,7.147663835327142,50.0,60000.0,50821.189039098375,0.0,100.0,-110821.18903909833,46558.5384836081
5,0.0,0.0,60000.0,49099.63064246437,0.0,0.0,-109099.63064246437,44060.170219585954
5,24.06837757279393,50.0,60000.0,48414.869335170675,0.0,100.0,-108414.86933517066,43439.51118301275
5,41.70487821548164,12.132487660430751,60000.0,46657.15044880698,6.786127416127948,68.66017128756206,-106657.150448807,33002.252129287954
5,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
5,0.0,0.0,60000.0,23395.519434136266,0.0,0.0,-83395.51943413627,27094.55898205819
5,0.0,0.0,60000.0,20701.6813631902,0.0,0.0,-80701.6813631902,9451.282139602392
5,41.03308538696739,0.0,60000.0,6229.518472056499,33.0,100.0,-66229.51847205649,7801.075689128956
5,0.0,0.0,60000.0,5296.089757185996,0.0,0.0,-65296.089757186004,5136.065617931237
5,50.0,0.0,60000.0,4144.775410820773,31.715644860768492,42.79048206745969,-64144.77541082076,-2379.913821899327
5,8.803464156459171,17.927637030584314,60000.0,2770.3467691695864,33.0,81.15831181810094,-62770.34676916956,-3648.2954170457915
6,50.0,50.0,60000.0,60045.0,33.0,100.0,-120045.0,48684.62043957749
6,7.147663835327142,50.0,60000.0,50821.189039098375,0.0,100.0,-110821.18903909833,46558.5384836081
6,0.0,0.0,60000.0,49099.63064246437,0.0,0.0,-109099.63064246437,44060.170219585954
6,24.06837757279393,50.0,60000.0,48414.869335170675,0.0,100.0,-108414.86933517066,43439.51118301275
6,41.70487821548164,12.132487660430751,60000.0,46657.15044880698,6.786127416127948,68.66017128756206,-106657.150448807,33002.252129287954
6,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
6,0.0,0.0,60000.0,23395.519434136266,0.0,0.0,-83395.51943413627,27094.55898205819
6,0.0,0.0,60000.0,20701.6813631902,0.0,0.0,-80701.6813631902,9451.282139602392
6,41.03308538696739,0.0,60000.0,6229.518472056499,33.0,100.0,-66229.51847205649,7801.075689128956
6,0.0,0.0,60000.0,5296.089757185996,0.0,0.0,-65296.089757186004,5136.065617931237
6,50.0,0.0,60000.0,4144.775410820773,31.715644860768492,42.79048206745969,-64144.77541082076,-2379.913821899327
6,8.803464156459171,17.927637030584314,60000.0,2770.3467691695864,33.0,81.15831181810094,-62770.34676916956,-3648.2954170457915
7,50.0,50.0,60000.0,60045.0,33.0,100.0,-120045.0,48684.62043957749
7,0.0,0.0,60000.0,51272.36270698789,33.0,0.5038712994628991,-111272.36270698789,43448.614206675324
7,24.06837757279393,50.0,60000.0,48414.869335170675,0.0,100.0,-108414.86933517066,43439.51118301275
7,41.70487821548164,12.132487660430751,60000.0,46657.15044880698,6.786127416127948,68.66017128756206,-106657.150448807,33002.252129287954
7,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
7,0.0,0.0,60000.0,23395.519434136266,0.0,0.0,-83395.51943413627,27094.55898205819
7,0.0,0.0,60000.0,22036.42848237836,0.0,77.63699847650591,-82036.42848237837,14539.401025725161
7,0.0,0.0,60000.0,20701.6813631902,0.0,0.0,-80701.6813631902,9451.282139602392
7,41.03308538696739,0.0,60000.0,6229.518472056499,33.0,100.0,-66229.51847205649,7801.075689128956
7,0.0,0.0,60000.0,5296.089757185996,0.0,0.0,-65296.089757186004,5136.065617931237
7,50.0,0.0,60000.0,4144.775410820773,31.715644860768492,42.79048206745969,-64144.77541082076,-2379.913821899327
7,8.803464156459171,17.927637030584314,60000.0,2770.3467691695864,33.0,81.15831181810094,-62770.34676916956,-3648.2954170457915
8,50.0,50.0,60000.0,60045.0,33.0,100.0,-120045.0,48684.62043957749
8,50.0,0.0,60000.0,57175.85568576628,8.143958609098492,100.0,-117175.8556857663,42979.886858349186
8,41.70487821548164,12.132487660430751,60000.0,46657.15044880698,6.786127416127948,68.66017128756206,-106657.150448807,33002.252129287954
8,12.5,0.0,60000.0,45033.75,0.0,0.0,-105033.75,31180.926342514053
8,0.0,0.0,60000.0,23395.519434136266,0.0,0.0,-83395.51943413627,27094.55898205819
8,0.0,0.0,60000.0,22036.42848237836,0.0,77.63699847650591,-82036.42848237837,14539.401025725161
8,0.0,0.0,60000.0,20701.6813631902,0.0,0.0,-80701.6813631902,9451.282139602392
8,41.03308538696739,0.0,60000.0,6229.518472056499,33.0,100.0,-66229.51847205649,7801.075689128956
