iterID,x1,x2,x3,x4,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,-100.0,50.0,27.5,1.0,0.26948543224845367,5.979549621170096,0.0,0.0,0.0,0.0,0.0,0.0,0.12599101466755142
0,100.0,75.0,30.0,0.25,0.3784075114999171,5.126418159185217,0.0,0.0,0.0,0.0,0.0,0.0,0.12599101466755142
0,50.0,62.5,20.0,0.0,0.07610768582325014,6.653147378500671,0.0,0.0,0.0,0.0,0.0,0.0,0.12599101466755142
0,-50.0,87.5,25.0,0.5,0.18369399798250746,6.141488291454235,0.0,0.0,0.0,0.0,0.0,0.0,0.12599101466755142
0,0.0,100.0,22.5,0.75,0.1198953550886454,6.682010707837806,0.0,0.0,0.0,0.0,0.0,0.0,0.12599101466755142
1,100.0,50.0,27.487085139276637,1.0,0.26897060316604177,5.978876402956589,0.27655512806172616,0.10699583451010707,0.6565299754428224,5.452703334982369,0.5535619443359084,-1.1707612626840151,0.14298145803966034
1,100.0,50.0,28.556033981514542,1.0,0.312879681052823,5.797930686698999,0.31945588357912275,0.08470232672087655,1.0530216602620879,5.262290644926736,0.36860078276186425,-1.5065871951348362,0.14298145803966034
1,100.0,50.0,26.013953682971394,1.0,0.215071517774901,6.221435555063455,0.22091753532864417,0.11873594562497637,0.1423235794020261,5.7864527800381795,0.6785896143638012,-0.5821360058376106,0.14298145803966034
1,100.0,50.0,29.294441327314797,1.0,0.34389515992292896,5.672979366246875,0.34898704949360376,0.06500581506444117,1.325950693489995,5.172174614181029,0.19607849352729395,-1.6655225058281622,0.14298145803966034
1,100.0,50.0,23.513356994193806,1.0,0.14239696232348412,6.63706744472203,0.14460889937265597,0.11610392325418423,-0.5629259965449709,6.36313291084693,0.6412179460123623,0.4349398129963502,0.14298145803966034
