iterID,x1,x2,x3,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
18,0.0131680126895809,0.9713207068494255,22.780087956501966,0.29723206951315984,5.698817209288407,0.294861189987833,0.09305719982885355,-0.8253090381622314,2.48511271334291,0.02148880979721167,-7.950549125671387,0.04734977871918783
18,0.010738241673472216,0.9695742297499953,22.760738946654307,0.2974860627689014,5.703034305392623,0.257228977403577,0.09924931507831836,-7.2931413650512695,4.369067023961629,0.0,-3.259044647216797,0.04734977871918783
18,0.001808859517065835,0.9532058635642715,22.545747938190246,0.29682724233536,5.754922198110898,0.2577881637873131,0.8604841576872522,-7.197034239768982,7.169902263316848,0.8585483954667241,3.7157163619995117,0.04734977871918783
18,0.005286495835093938,0.955298926768843,22.51641328731578,0.29663364888734034,5.766337100520164,0.24998563181525812,1.2756184554079193,-8.538052082061768,7.330863125942307,1.2748504981094926,4.11654806137085,0.04734977871918783
18,0.0,0.967222656933359,22.315734997286423,0.2962909339963776,5.779491393040923,0.271562428046474,2.921411731408114,-4.829657316207886,9.197256224537417,2.9212633122068628,8.764320850372314,0.04734977871918783
18,1.2003142740021205e-05,0.9835954438001875,22.804164684876113,0.2971405370171113,5.688751823108555,0.2722267806311903,0.42957685220756436,-4.71547532081604,5.347800903569228,0.42362001761611434,-0.8217592239379883,0.04734977871918783
18,0.008032295125064669,0.9519685627227111,22.496827870117073,0.2968092911985819,5.729183829677335,0.26289038051253877,1.4557221733107648,-6.320118427276611,6.169137403582588,1.4549798060954637,1.2235684394836426,0.04734977871918783
18,0.012170207174702687,0.971049740049654,22.76972185568259,0.2972085878260173,5.70817925533961,0.2748581614284268,0.11033343116262026,-4.263221025466919,2.9442206845272167,0.05587944853984545,-6.807258605957031,0.04734977871918783
18,0.010797044098810668,0.9700093041878123,22.759529658940313,0.29732174123901595,5.705652123102884,0.2581760509838806,0.04817485690528385,-7.130368232727051,4.098762762104599,0.0,-3.9321680068969727,0.04734977871918783
19,0.019484924949296017,0.9566842422304639,22.665664818126654,0.2973071383497474,5.750620045686387,0.2694165961496116,1.0055268265805535,-5.281822681427002,3.214019871049145,0.9982201895176388,-6.297687530517578,0.04752161513313918
