iterID,x1,x2,x3,ParetoFamily,Pareto_f1,Pareto_f2
1,-5.0,-2.0852741039276395,-2.0,4,-4.160972380793204,-4.099429064209742
1,-5.0,-2.4298294716760016,-1.4881079128756503,4,-4.306343245463783,-4.097845883958357
1,-5.0,-2.6498181891753196,-1.4385824513290704,4,-4.393854489473613,-4.090193747317482
1,-5.0,-2.8005886801590365,-1.404639900827151,4,-4.4529491010858155,-4.082080648882798
1,-5.0,-2.9194787245044185,-0.056991205575321224,4,-4.513472113987717,-4.072359596508397
1,-5.0,-3.063882334960834,-1.3453653165458668,4,-4.554406373461832,-4.06260344670865
1,-5.0,-3.1222474239836586,0.431171891001382,28,-4.59528430343032,-4.054719662848558
1,-5.0,-3.2320537293914464,-0.4318542061942874,12,-4.627714455007579,-4.045739775431311
1,-5.0,-3.316570901150283,-0.4119609733101921,12,-4.659325258326648,-4.036835576753173
1,-5.0,-3.3779743359711176,-0.004328549502741863,24,-4.686184178882007,-4.029310450620272
1,-5.0,-3.4464414328419415,0.012155267395701053,24,-4.711473879447972,-4.021286532954863
1,-5.0,-3.464974542426653,2.0,71,-4.7359171376086255,-4.013928649984217
1,-5.0,-3.5461602628695554,1.0191928208679046,71,-4.757286113133819,-4.006720323027208
1,-5.0,-3.5900726631063318,1.4257234762627653,71,-4.77666696690415,-3.9999313143619553
1,-5.0,-3.6295437619010458,2.0,71,-4.795500535808147,-3.992934567314836
1,-5.0,-3.689005631063127,1.4525621787852692,71,-4.812423368508444,-3.986493613900926
1,-5.0,-3.735116669932733,1.4650712592342194,71,-4.828977423017797,-3.979969716076865
1,-5.0,-3.7720446936103276,1.6148010503897092,84,-4.843329041445463,-3.9742199862198904
1,-5.0,-3.8148685791119776,1.6266280327657014,84,-4.858584864265914,-3.967894735796044
1,-5.0,-3.858102554348589,1.3743874402987002,67,-4.871752462178804,-3.962128854030145
1,-5.0,-3.8977655054568046,1.3849907829432224,67,-4.885772973246279,-3.9560220462241995
1,-5.0,-3.9270292582389112,1.6537734242794064,85,-4.898219583899353,-3.9506926981619213
1,-5.0,-3.9570066606934935,1.8723622027207836,85,-4.910410108005717,-3.9452977295685843
1,-5.0,-3.9909110186121564,1.6714072467828238,85,-4.920622511267338,-3.9404788712696055
1,-5.0,-4.027784571434979,1.681585765373247,85,-4.93349131424932,-3.93445062402394
1,-5.0,-4.05626471193682,1.689447379385565,85,-4.943399473025801,-3.929728927744949
1,-5.0,-4.083254998879102,1.7816024280408937,110,-4.9534328438457305,-3.9249485230921337
1,-5.0,-4.110772575652602,1.7892857510813371,110,-4.962954416634405,-3.920280828360469
1,-5.0,-4.135311833861871,1.79613748259631,110,-4.971423863751667,-3.916074388564563
1,-5.0,-4.166514856994312,1.804849837922447,110,-4.982163837939467,-3.910666319676138
1,-5.0,-4.192628319553687,1.812141111067596,110,-4.991126689505286,-3.9060897063193742
1,-5.0,-4.213087046962911,1.712195354606337,74,-4.997305063879269,-3.902787221676112
1,-5.0,-4.244605082297792,1.7208739655455592,74,-5.008071318576906,-3.8971597954917714
1,-5.0,-4.272129469852561,1.7284529103747706,74,-5.017445850838019,-3.892191677370148
1,-5.0,-4.284286510915283,1.7318003978826213,74,-5.021578240879329,-3.8899815060099234
1,-5.0,-4.307536852096173,1.844225308847594,110,-5.030291988497487,-3.8854117506697756
1,-5.0,-4.331001249654277,1.8507769230348554,110,-5.038234510016897,-3.8810830142621233
1,-5.0,-4.366882909442253,1.620740942360107,96,-5.048466759081789,-3.8750993751310636
1,-5.0,-4.3876722301453555,1.626370047304984,96,-5.0554643493280285,-3.87118724431238
1,-5.0,-4.408673043907743,1.632056418027942,96,-5.0625182149583665,-3.867207526637417
1,-5.0,-4.4304713892847,1.637958735641103,96,-5.069824100572056,-3.8630473250128086
1,-5.0,-4.447213383102492,1.6424919496663586,96,-5.075424337616292,-3.859831949752473
1,-5.0,-4.46420541335222,1.887969537357241,110,-5.082968526761123,-3.8558446618970406
1,-5.0,-4.484260764521473,2.0,110,-5.090454835051288,-3.851624635349145
1,-5.0,-4.504487907990127,1.899217018257377,110,-5.096377712998249,-3.8479941124426276
1,-5.0,-4.5206307106241015,2.0,110,-5.102461035557367,-3.8445276186495763
1,-5.0,-4.5416032796469175,1.9095801905872847,110,-5.108683688653704,-3.840673035413082
1,-5.0,-4.564552254126039,1.6742636861525053,96,-5.114406648301992,-3.836812348641452
1,-5.0,-4.5838495779374275,1.6794888044928742,96,-5.120772675550052,-3.8329467266080277
1,-5.0,-4.599152302758505,1.68363230899649,96,-5.125811887459003,-3.829865513732977
1,-5.0,-4.616576452074806,1.6883502296287904,96,-5.1315399595021045,-3.8263402425349575
1,-5.0,-4.63797312629683,1.694143787118581,96,-5.138559797254414,-3.8219867561784886
1,-5.0,-4.6520358630863505,2.0,96,-5.145466296487619,-3.8182218057287036
1,-5.0,-4.675453199050061,1.704292231403155,96,-5.150818614772232,-3.814296310917645
1,-5.0,-4.688763423776482,1.7078962285175843,96,-5.155160518443797,-3.8115455959277833
1,-5.0,-4.704228012892656,1.7120835608651666,96,-5.160197590503195,-3.808336830313241
1,-5.0,-4.720256904951948,1.71642368899347,96,-5.165409838571119,-3.804996496069977
1,-5.0,-4.735890766048685,1.9638281911662512,110,-5.172334447556636,-3.8010141390373446
1,-5.0,-4.75775745906579,1.9699337021151084,110,-5.179417450061239,-3.7964139144526134
1,-5.0,-4.769094703091643,1.9730992318765392,110,-5.183083340310798,-3.7940182067362223
1,-5.0,-4.786323080865163,2.0,110,-5.188809588302851,-3.790297494506114
1,-5.0,-4.7994965841299635,1.989825747590181,91,-5.1929531696452464,-3.787533631436376
1,-5.0,-4.819225118026323,1.9953408271485786,91,-5.19930130672244,-3.7833140978916298
1,-5.0,-4.8348621457066905,1.9534222662898353,107,-5.203979935345469,-3.780092445651758
1,-5.0,-4.8575478785325075,1.9597244498072146,107,-5.211251324261447,-3.77519441272665
1,-5.0,-4.8774367243346495,1.8951265657762817,107,-5.21708833598967,-3.77108358600265
1,-5.0,-4.888179138694256,1.9682339312681014,107,-5.221041488610759,-3.7685363335399487
1,-5.0,-4.901688939408013,1.9719870056798934,107,-5.22534918369128,-3.765583666764951
1,-5.0,-4.923587835458009,1.9780706029255608,107,-5.232318508769389,-3.760776657533154
1,-5.0,-4.942178412001849,1.983235136333969,107,-5.238222054976479,-3.7566757406576716
