iterID,x1,x2,x3,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,-1.0,0.0,0.0,-0.7119999999999915,-1.450835000000021,0.0,0.0,0.0,0.0,0.0,0.0,29.89552257999921
0,2.0,2.5,-2.0,2.76650000000002,3.433645000000044,0.0,0.0,0.0,0.0,0.0,0.0,29.89552257999921
0,1.0,5.0,1.0,3.3969999999999607,5.8247849999998715,0.0,0.0,0.0,0.0,0.0,0.0,29.89552257999921
0,0.0,1.25,-1.0,0.6712499999999891,0.26598749999999594,0.0,0.0,0.0,0.0,0.0,0.0,29.89552257999921
0,-2.0,3.75,2.0,0.5897499999999908,1.2062925000000129,0.0,0.0,0.0,0.0,0.0,0.0,29.89552257999921
1,-5.0,-4.9983260761210015,1.9534720544115673,-6.244101102876873,-3.6216837956309376,-5.2556454419734,0.5637035150805313,-4.353163529336051,-3.7443126958328037,1.0647572467872284,-2.2093752108719826,94.14362415559538
1,-5.0,-2.4298294716760016,-1.4881079128756503,-4.864818426290095,-3.9931835398011604,-4.306343245463783,0.48469624849629217,-3.7268560712015244,-4.097845883958357,0.6465589759709169,-2.3488479495040266,94.14362415559538
1,-5.0,-3.735116669932733,1.4650712592342194,-5.565757651753939,-3.0072110909782532,-4.828977423017797,0.47030220596336264,-4.071666906446197,-3.979969716076865,0.821314895238895,-2.302344502285816,94.14362415559538
1,-5.0,-4.3876722301453555,1.626370047304984,-5.916179987588057,-3.384882015621744,-5.055464349328039,0.5163393703514051,-4.221092928675603,-3.8711872443123623,0.9421107024845754,-2.259428618397795,94.14362415559538
1,-5.0,-3.1222474239836586,0.431171891001382,-5.236646866679282,-3.2366644732483114,-4.59528430343031,0.4578426095807653,-3.917486557711605,-4.054719662848531,0.7252070919325455,-2.331834180027588,94.14362415559538
2,-3.429133015867163,-5.0,-2.0,-5.126542707297541,-5.861805249876256,-5.133175035199569,0.009966136949117374,-0.8317809262225637,-7.493716545224643,0.2067252176034522,-2.0863529704965913,116.32011625670334
2,-4.999106874067922,-5.0,-2.0,-6.244364094336487,-6.239909904016083,-6.232457836223761,0.006130690974485118,-1.134382158277731,-6.220378121616601,0.03679749909925142,-1.6896831304948137,116.32011625670334
2,-4.274243546478935,-5.0,-2.0,-5.728261405092861,-6.065337444516372,-5.726961906993431,0.007223546137581813,-0.995233532608836,-6.9811612440643325,0.13135466630848783,-1.9266819627473524,116.32011625670334
2,-4.640087505620862,-5.0,-2.0,-5.9887423040020265,-6.153445474416075,-5.982554036576694,0.006295294899371717,-1.0655907630170987,-6.627944111828684,0.07714110013448361,-1.8166479130932203,116.32011625670334
2,-3.884781039764434,-5.0,-2.0,-5.450964100312355,-5.971541241711732,-5.453881156822401,0.00831773101799611,-0.9200621832751494,-7.274960594206239,0.1753136825558051,-2.0182062103885983,116.32011625670334
3,-5.0,-5.0,-2.0,-6.24499999999991,-6.240125000000035,-6.244998701779121,0.005351258086498389,-0.8571190235234099,-6.2401241084138475,0.03295661452301691,-1.0222216839756584,116.32986221999754
3,-5.0,-5.0,-0.848803452343738,-6.24499999999991,-5.478032885451545,-6.2450835287095305,0.030512248065405683,-0.8571437980426708,-5.469223931228466,0.049589905482069194,-0.8086480255806237,116.32986221999754
3,-5.0,-5.0,-1.507344246466939,-6.24499999999991,-5.913986891160989,-6.245055745803642,0.0,-0.8571356837783242,-5.911868292187867,0.021511094557621305,-0.9312802136846585,116.32986221999754
3,-5.0,-5.0,-1.770623652976219,-6.24499999999991,-6.088277858270209,-6.245029795915437,0.0,-0.8571281048643868,-6.087753795544785,0.04153487808173373,-0.9800083259906387,116.32986221999754
3,-5.0,-5.0,-1.2263188178369617,-6.24499999999991,-5.727948057407978,-6.245073463479833,0.012862007977704273,-0.8571408583957236,-5.723290243038653,0.0435916587513332,-0.8790357013058383,116.32986221999754
4,-5.0,-5.0,-1.672568201646824,-6.24499999999991,-6.0233651494900915,-6.245000209986875,0.0,-0.6822725314318632,-6.0233656605022485,0.03269242790116876,-0.7653998416499235,116.32986221999754
4,-5.0,-5.0,-1.8433513348326287,-6.24499999999991,-6.136423583659114,-6.245000038115217,0.0,-0.6822724781559373,-6.136425832229595,0.03914158302129728,-0.7982016103633214,116.32986221999754
4,-4.644433406576815,-5.0,-2.0,-5.991836585482756,-6.154492119472782,-5.991838644591342,0.02464662570437983,-0.6037987623440131,-6.154492218799549,0.014566269697052561,-0.8034431505511748,116.32986221999754
4,-5.0,-5.0,-0.02038610340285385,-6.24499999999991,-4.92962060045276,-6.2449976832321745,0.020368581202035056,-0.6822717482009466,-4.9294408982281315,0.04750472741393372,-0.44802311655075755,116.32986221999754
4,-4.470566251026563,-5.0,-2.0,-5.868043170730808,-6.112618823065836,-5.868043621969374,0.025612045501092893,-0.5654253939210321,-6.1126187423309775,0.04497490487073406,-0.7912945391581161,116.32986221999754
