type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3X4X5X6X7X8,0.24603566230605411,2912.0429546558753,3628.5093716683123,80.0
1,X1X2X3X4X5X6X7X8,0.014723333396369097,3628.5093716683123,3681.9331248792346,80.0
1,X1X2X3X4X5X6X7X8,0.0030578210638967,3681.9331248792346,3693.1918175443493,80.0
1,X1X2X3X4X5X6X7X8,0.003975548096255523,3693.1918175443493,3707.874279243694,80.0
1,X1X2X3X4X5X6X7X8,0.003598431194766155,3707.874279243694,3721.216809716396,80.0
1,X1X2X3X4X5X6X7X8,0.0003842121364983756,3721.216809716396,3722.6465463772306,80.0
1,X1X2X3X4X5X6X7X8,0.001113992137331078,3722.6465463772306,3726.7935453599575,80.0
1,X1X2X3X4X5X6X7X8,0.0011185319074009628,3726.7935453599575,3730.9620828527386,80.0
1,X1X2X3X4X5X6X7X8,0.004900045750614597,3730.9620828527386,3749.2439677525254,80.0
1,X1X2X3X4X5X6X7X8,0.0003047030670413153,3749.2439677525254,3750.3863738885857,80.0
