iterID,x1,x2,x3,ParetoFamily,Pareto_f1,Pareto_f2
1,0.0,71.68447176596585,0.0,0,70.89933248245204,6.178577051641668
1,0.0,63.986282505466484,0.0,0,62.81209340910848,6.166621966497473
1,0.0,59.635572058079035,0.0,0,58.235212715157246,6.160651611321498
1,0.0,55.22712719036106,0.0,0,53.60469963360214,6.15518121512703
1,0.0,52.558170593334516,0.0,0,50.808833384370764,6.152152666146847
1,0.0,47.77302712954498,0.0,0,45.81841856574535,6.147257822629385
1,0.0,45.49991990291345,0.0,0,43.460792522479316,6.145173241272602
1,0.0,43.7776199144294,0.0,0,41.68118017322356,6.143696984789756
1,0.0,39.86817974208026,0.0,0,37.66648541206128,6.140676197675191
1,0.0,38.30812908633449,0.0,0,36.07522462290612,6.139598701187452
1,0.0,36.19131192321771,0.0,19,33.92701721137678,6.13825334406522
1,0.0,33.88157178028037,0.0,19,31.598567458066796,6.136938636570491
1,0.0,32.113868598945054,0.0,19,29.828330856667023,6.136040487482816
1,0.0,31.2058845904922,0.0,19,28.923241075835477,6.1356155605105585
1,0.0,29.303047364952235,0.0,19,27.036152172997376,6.134805197860729
1,0.0,28.11696717732392,0.0,19,25.866785519437443,6.13435497372582
1,0.0,26.8707084036821,0.0,19,24.64403018946797,6.133927318473596
1,0.0,25.33126741302722,0.0,19,23.142329183105986,6.133463294055744
1,0.0,24.23288901270532,0.0,19,22.076957724055788,6.133175610346413
1,0.0,23.154169613967728,0.0,30,21.0357335939743,6.13292824494836
1,0.0,22.35462447796626,0.0,30,20.26730426083165,6.132767385124026
1,0.0,21.25330574780589,0.0,30,19.21358520632218,6.132577155389683
1,0.0,20.086260307327404,0.0,30,18.103109811333255,6.132415203930449
1,0.0,19.43925158439494,0.0,30,17.490237753253297,6.132342987289974
1,0.0,18.35266530678074,0.0,30,16.465522415804315,6.132249900323316
1,0.0,17.70449047505514,0.0,30,15.857009507204026,6.132211199603418
1,0.0,16.860192017677633,0.0,30,15.067512505583053,6.132179645110455
1,0.0,16.120965958960838,0.0,30,14.379224906260646,6.132169532701468
1,0.0,15.673529334290409,0.0,30,13.96397828236229,6.132171355779008
1,0.0,14.692162801756131,0.0,30,13.056847943861442,6.132196331054217
1,0.0,14.219487967177052,0.0,30,12.621729972083187,6.132218641414525
1,0.0,13.39661539400187,0.0,30,11.867069918929147,6.13227342671982
1,0.0,13.101831984812245,0.0,30,11.597605307427017,6.132297980416226
1,0.0,12.64328944570689,0.0,26,11.179380143858921,6.132341340251983
1,0.0,11.61892203400538,0.0,26,10.249224456571298,6.132460920193807
1,0.0,11.101421883984324,0.0,26,9.781519093428088,6.1325332616211625
1,0.0,10.657682865316126,0.0,26,9.381665595579022,6.13260166918667
1,0.0,10.040055460736546,0.0,26,8.826961834793764,6.132706683791241
1,0.0,9.519604105510108,0.0,26,8.361210136632238,6.132804030013816
1,0.0,9.04052185769229,0.0,26,7.9338455372501215,6.1329007962514765
1,0.0,8.656924715445099,0.0,37,7.592608470407825,6.132983222291699
