step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.7404459059358894,1101.9003842432153,1917.7980125052875,20.0,4.5104591846466064
2,X1X2X3X4,0.029971751491754104,1917.7980125052875,1975.277777947476,20.0,4.0450592041015625
3,X1X2X3X4,0.013852675841509782,1975.277777947476,2002.64066070232,20.0,4.376296281814575
4,X1X2X3X4,0.012002612682173654,2002.64066070232,2026.6775808943023,20.0,4.855809211730957
5,X1X2X3X4,0.022699482887501413,2026.6775808943023,2072.6821139602953,20.0,4.895038843154907
6,X1X2X3X4,0.00666028567817336,2072.6821139602953,2086.486768959311,20.0,5.344663143157959
7,X1X2X3X4,0.003404209845511858,2086.486768959311,2093.5896077607326,20.0,5.939502716064453
8,X1X2X3X4,0.0016795646002449615,2093.5896077607326,2097.1059267533683,20.0,5.527649879455566
9,X1X2X3X4,0.0014135334821294369,2097.1059267533683,2100.0702561964063,20.0,5.945700168609619
10,X1X2X3X4,0.001041651135289678,2100.0702561964063,2102.2577967629613,20.0,5.412255048751831
