iterID,x1,x2,f1,f2,f3,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Expected_f3,Uncertainty_f3,Acquisition_f3,Hypervolume_indicator
12,3.075768488236818,3.91995768642492,24.87684898125321,49.11292329749075,11.929309661854763,24.852132011990918,0.005761516947940326,0.873488173617261,49.20424098855467,0.00414620715710271,-0.7567888686598963,11.694647035791647,0.013695582982768848,-0.9477622288225831,139981.16159964932
13,0.006968607396200602,2.735343817014863,7.49922550368928,104.96861414047189,27.70461239432151,7.003125839885097,0.05397799771175137,-1.1234755524760658,105.12187132825028,0.021028465398112206,1.8975357269687265,21.824294891277905,0.11753237234172688,-0.3174486071848186,140331.06030936702
13,0.0,1.756035438765148,3.087628997721173,110.65206099449664,42.88882693128708,2.8300401524431056,0.08895775309331246,-1.586405846442517,110.59518997331227,0.033166039034525224,2.15617796491415,39.035068818129005,0.19103614945655126,0.7223101986610789,140331.06030936702
13,0.7254565666302987,3.3424109177048145,11.718859137018544,88.72291318129356,18.9876729662455,11.671872830909862,0.0008669384587684393,-0.605560374382776,88.84630947185715,0.0004246118759266284,1.1284323702411712,18.285891290045782,0.0023262647790122455,-0.5312150722290241,140331.06030936702
13,1.1061632866624636,1.4901763583327288,3.4420732348347447,91.34431554164571,47.251231432072935,3.1509892984072163,0.004342103406142199,-1.55080219638171,91.360641513155,0.0011006582007459511,1.2472473905736479,47.59718498511232,0.012988329111776107,1.2395754720958365,140331.06030936702
13,4.760850218603033,3.1146876246190853,32.416888405645075,30.983202280023683,22.261135835539868,32.321656929086544,0.008677238132341912,1.6851691574070173,30.790938062408394,0.005925709028135557,-1.614980202611605,21.872101673741437,0.01831236911322511,-0.31456044403440586,140331.06030936702
13,1.7574295648779397,4.124157742008267,19.98997698869043,68.66147622877016,9.297732830251519,20.00982009746498,0.0025040528244126654,0.3193878937054251,68.68192944513541,0.001075156882442636,0.17556250917459693,9.1593859526625,0.00575975882532717,-1.0825769302997514,140331.06030936702
13,1.852240511344299,0.5913682659757785,3.797020826267864,85.76285465341002,63.683798073706654,3.7133934801417077,0.05997558968150181,-1.4884133664658066,86.05053836205643,0.023943129857662657,0.9963179176550057,64.97756287064637,0.13602323051197335,2.289580604475127,140331.06030936702
13,3.7146694419334123,3.323593465190392,24.791516605533914,42.30951851177221,19.755573643298543,24.916439153096494,0.003696709450263199,0.8636907841637367,42.05777907120747,0.002684442557015586,-1.0825644669189387,19.49515862467142,0.007888285972155998,-0.45815930116708614,140331.06030936702
13,1.8806658512743002,3.4370726056473604,15.318699709868918,68.38593828056014,17.73920998267734,15.244176650961487,0.0010668353483838336,-0.20927623803481765,68.52058909763971,0.00032526780777810603,0.167938354387843,17.764532190737896,0.0031976485664814325,-0.5627120703778132,140331.06030936702
