step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,ciweightbmiaspirin,0.05968998260857762,0.30069922198708865,0.3186479533179108,40.0,3.8697657585144043
2,ciweightbmiaspirin,0.28701187070534645,0.3186479533179108,0.4101036984961143,40.0,3.878692865371704
3,ciweightbmiaspirin,0.05369973720385698,0.4101036984961143,0.4321261593316854,40.0,4.2688939571380615
