step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.1535842279047191,1599.8897864539058,1845.6076240390748,20.0,0.24430489540100098
2,X1X2X3X4,0.1632835647229214,1845.6076240390748,2146.9650159719763,20.0,0.2221980094909668
3,X1X2X3X4,0.023862149063717458,2146.9650159719763,2198.196215217686,20.0,0.2824108600616455
4,X1X2X3X4,0.0014837919514096066,2198.196215217686,2201.457881069445,20.0,0.26451992988586426
5,X1X2X3X4,0.0064400624937169726,2201.457881069445,2215.635407400818,20.0,0.25095510482788086
6,X1X2X3X4,0.0,2215.635407400818,2215.635407400818,20.0,0.25948166847229004
7,X1X2X3X4,0.0006349670782003125,2215.635407400818,2217.0422629418126,20.0,0.30227017402648926
8,X1X2X3X4,0.009257465136392461,2217.0422629418126,2237.566454396905,20.0,0.46443605422973633
9,X1X2X3X4,0.0011398082015382385,2237.566454396905,2240.1168509931135,20.0,0.4410388469696045
10,X1X2X3X4,0.0,2240.1168509931135,2240.1168509931135,20.0,0.3205249309539795
