step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.207763518315479,1337.9965276780135,1615.9833937622918,20.0,0.7712979316711426
2,X1X2X3X4,0.0,1615.9833937622918,1615.9833937622918,20.0,0.6643738746643066
3,X1X2X3X4,0.02116970519383787,1615.9833937622918,1650.1932858063772,20.0,0.7037529945373535
4,X1X2X3X4,0.0,1650.1932858063772,1650.1932858063772,20.0,0.7081782817840576
5,X1X2X3X4,0.10946351085284939,1650.1932858063772,1830.8292364565427,20.0,0.6702818870544434
6,X1X2X3X4,0.0,1830.8292364565427,1830.8292364565427,20.0,0.6916041374206543
7,X1X2X3X4,0.0,1830.8292364565427,1830.8292364565427,20.0,0.6982650756835938
8,X1X2X3X4,0.0,1830.8292364565427,1830.8292364565427,20.0,0.7104198932647705
9,X1X2X3X4,0.02856174306892936,1830.8292364565427,1883.1209107112986,20.0,0.7205750942230225
10,X1X2X3X4,0.047044992993919725,1883.1209107112986,1971.7123207624154,20.0,0.7640182971954346
