type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X3,0.06530208021310004,213.30834864104165,227.23782753412286,10.0
1,X3X4,0.04780726410927145,357.7874142048151,374.892251610678,20.0
1,X4,0.0471780185743305,216.30009346377486,226.50470329083825,10.0
1,X1X4,0.032419605084505795,998.7584576514921,1031.1378124233636,20.0
1,X3,0.031980177613292825,227.23782753412286,234.5049336191229,10.0
1,X2X3,0.02921813964928127,557.0570280304021,573.333198068008,20.0
1,X4,0.02039682808446972,226.50470329083825,231.1246807841853,10.0
1,X1X2,0.019118448277639956,1661.0910962814135,1692.848580490118,20.0
1,X3X4,0.018420503397365513,374.892251610678,381.7979556051185,20.0
1,X2,0.018415701935532706,511.2599016226702,520.6751115825431,10.0
1,X2,0.024678908584684474,520.6751115825431,533.524805063609,10.0
1,X2,0.045612438773605816,533.524805063609,557.8601725687729,10.0
1,X4,0.01746946957212788,231.1246807841853,235.1623063625124,10.0
1,X3,0.014364093083731428,234.5049336191229,237.87338431422225,10.0
1,X3,0.01117626359955504,237.87338431422225,240.53191996063626,10.0
1,X2,0.009620020660983868,557.8601725687729,563.2267989548245,10.0
1,X2,0.012854214444959147,563.2267989548245,570.4666370097377,10.0
1,X4,0.007662906199765822,235.1623063625124,236.96433305788892,10.0
1,X1,0.007628538462325195,771.3755705344854,777.2600387432058,10.0
1,X1,0.00947871288813166,777.2600387432058,784.6274634898707,10.0
