iterID,x1,x2,Pareto_f1,Pareto_f2
0,25.0,100.0,5537.322873753275,-48792.121909844725
1,22.92510590175434,100.0,-72785.75235477152,49119.503487915536
1,23.728701156269935,100.0,-43426.84079159947,27811.88986802787
1,46.95368189195881,0.6422144530497088,-4130.9515418068595,3819.605348684842
1,25.0,100.0,5537.322873753275,-48792.121909844725
2,24.68875679595374,82.79038425874799,-96531.64941215752,70391.243299942
2,22.92510590175434,100.0,-72785.75235477152,49119.503487915536
2,23.728701156269935,100.0,-43426.84079159947,27811.88986802787
2,46.95368189195881,0.6422144530497088,-4130.9515418068595,3819.605348684842
2,19.511581260613507,98.83702976160501,3636.5773630999784,820.4569202615786
2,25.0,100.0,5537.322873753275,-48792.121909844725
2,24.394732546915986,73.0894633447112,76492.45773999843,-55679.963221962644
3,24.68875679595374,82.79038425874799,-96531.64941215752,70391.243299942
3,22.92510590175434,100.0,-72785.75235477152,49119.503487915536
3,25.425190276504388,100.0,-53975.26706897311,40195.43890106159
3,24.380177928292348,100.0,-53437.00359714924,36619.87934905609
3,23.728701156269935,100.0,-43426.84079159947,27811.88986802787
3,20.770721554466597,100.0,-32888.16787695519,23595.065388978917
3,20.26643401162968,100.0,-18156.176711087464,13289.054035038873
3,46.95368189195881,0.6422144530497088,-4130.9515418068595,3819.605348684842
3,24.66987093803292,100.0,1692.7113740623406,-2666.0558453948647
3,25.0,100.0,5537.322873753275,-48792.121909844725
3,24.394732546915986,73.0894633447112,76492.45773999843,-55679.963221962644
4,24.68875679595374,82.79038425874799,-96531.64941215752,70391.243299942
4,22.92510590175434,100.0,-72785.75235477152,49119.503487915536
4,25.425190276504388,100.0,-53975.26706897311,40195.43890106159
4,24.380177928292348,100.0,-53437.00359714924,36619.87934905609
4,23.728701156269935,100.0,-43426.84079159947,27811.88986802787
4,20.770721554466597,100.0,-32888.16787695519,23595.065388978917
4,20.26643401162968,100.0,-18156.176711087464,13289.054035038873
4,22.457360522870857,98.74123967567522,-13060.576036000295,11726.925626725932
4,22.30815152488396,99.10827792590663,-11194.82563097742,9016.23352690736
4,22.23922663042356,99.39643811297898,-5237.446767056994,4173.690868770264
4,46.95368189195881,0.6422144530497088,-4130.9515418068595,3819.605348684842
4,24.66987093803292,100.0,1692.7113740623406,-2666.0558453948647
4,25.0,100.0,5537.322873753275,-48792.121909844725
4,24.394732546915986,73.0894633447112,76492.45773999843,-55679.963221962644
5,24.68875679595374,82.79038425874799,-96531.64941215752,70391.243299942
5,22.92510590175434,100.0,-72785.75235477152,49119.503487915536
5,25.425190276504388,100.0,-53975.26706897311,40195.43890106159
5,24.380177928292348,100.0,-53437.00359714924,36619.87934905609
5,23.728701156269935,100.0,-43426.84079159947,27811.88986802787
5,20.770721554466597,100.0,-32888.16787695519,23595.065388978917
5,20.26643401162968,100.0,-18156.176711087464,13289.054035038873
5,22.457360522870857,98.74123967567522,-13060.576036000295,11726.925626725932
5,22.30815152488396,99.10827792590663,-11194.82563097742,9016.23352690736
5,25.244757506559797,100.0,-8981.760408051045,6153.155367828591
5,22.23922663042356,99.39643811297898,-5237.446767056994,4173.690868770264
5,46.95368189195881,0.6422144530497088,-4130.9515418068595,3819.605348684842
5,25.19183280703449,99.9803677307762,-1817.5484933221414,3441.9534877889305
5,24.66987093803292,100.0,1692.7113740623406,-2666.0558453948647
5,25.0,100.0,5537.322873753275,-48792.121909844725
5,24.394732546915986,73.0894633447112,76492.45773999843,-55679.963221962644
6,24.68875679595374,82.79038425874799,-96531.64941215752,70391.243299942
