iterID,x1,x2,ParetoFamily,Pareto_f1,Pareto_f2
1,17.834688669487974,100.0,3,15281.30066983937,-48210.785756455836
1,20.689989273196595,100.0,3,11001.133737903996,-48736.574884302165
1,21.52544137022835,100.0,3,9537.222472818201,-48818.97429494812
1,22.48278713607711,100.0,3,7914.448197592228,-48871.805900370804
1,22.92510590175434,100.0,3,7236.907393680192,-48880.94579203302
1,23.728701156269935,100.0,17,6226.755837245926,-48872.482600297015
1,24.598837236003597,100.0,17,5609.59751888674,-48826.41256442457
1,24.991768713289602,100.0,17,5537.353511397741,-48792.90866923459
1,41.04707627285556,100.0,17,19739.909418375595,-40813.52595201407
1,42.309213784589886,100.0,17,19856.80142836297,-39694.84446025084
1,12.080243543549676,78.63191648825813,56,19702.310142706,-38139.65156051697
1,10.717833394802282,78.18315870885354,56,19470.37601006839,-37382.08356328823
1,9.779501848356077,77.89679201987192,56,19245.44513591684,-36844.82415019651
1,8.577507711425397,77.52995890798114,56,18850.621449107046,-36129.25654931502
1,7.315625654777894,77.43442586279073,56,18373.327545823675,-35473.05170632264
1,6.620362122008867,77.05886819411688,56,17921.305791831415,-34961.40889794173
1,6.100931230242076,76.7741396992886,56,17528.584078822558,-34573.46633913868
1,5.3691239060655995,76.55279136984218,56,16986.072933251275,-34097.30693238198
1,5.018172583702447,76.4436957216241,56,16700.260376739017,-33865.40147831675
1,4.503699090723849,76.28668504526873,56,16257.573898668716,-33524.18748612655
1,3.962148970221089,76.12141093132327,56,15765.643026591684,-33162.103662920665
1,3.323709396112056,75.92120155138494,91,15163.666418910896,-32729.637145237284
1,2.861722983498352,75.78035527863626,91,14731.708920455587,-32416.31555405991
1,2.3981977169171462,75.6346615411575,91,14312.148096687113,-32098.68249195422
1,2.0158138163413053,75.51447189100638,91,13990.086847358474,-31835.66297189305
1,1.506369892079139,75.38544008124428,104,13625.698411613941,-31496.36806770604
1,1.011073883563407,75.22050501850356,104,13336.63365007586,-31149.658988084077
1,0.3413512385646246,74.9974853604151,104,13122.291217268472,-30679.556649633705
1,0.106759545287902,74.919365619929,104,13103.339007971146,-30514.618014398755
1,58.961571450800534,95.18998826939054,64,20079.65923066728,-18910.832387352613
1,59.97509437779925,95.53843129436524,64,20079.767661756785,-17718.622589935083
1,61.045722409056765,95.9065067072607,64,20079.850786284187,-16451.019882884197
1,63.14258254848048,100.0,64,20079.934861995454,-15221.84819168978
1,63.20173891549796,96.64773208400119,64,20079.952257670524,-13880.959879865984
1,65.07748918101608,100.0,64,20079.992569891077,-12664.09374814593
1,65.35968840308183,97.38962200791534,64,20080.001834977495,-11299.028050228346
1,67.15400385176352,100.0,64,20080.021379863232,-9919.635265489655
1,67.72027777476161,98.20117829290925,64,20080.0267075837,-8482.48714400841
1,69.28608433396147,100.0,137,20080.03454006835,-7115.576401240747
1,11.66949810655893,5.486708692416603,137,20079.99817100934,-5637.250050233251
1,20.400813870342944,4.6682182985098635,137,20078.72875875147,-4098.171865859831
1,25.289227661738366,3.891425566834475,137,20071.579762497167,-2527.3910402326433
1,29.307054264730116,3.2529733744628677,137,20042.65591515288,-896.5718469173447
1,32.14711140179385,2.80167447961539,137,19976.598358857118,437.8644452257981
1,34.92238593534622,2.360669855607915,137,19809.755211544252,1881.2088294852151
1,36.681282676116346,2.081172607154293,137,19594.09340314144,2863.7672804347426
1,39.324278536153855,1.6611877078523807,137,18954.964097009626,4432.790269735852
1,40.36663448615399,1.4331478936909114,137,18529.461664588198,5098.9657818738515
1,41.27080781809471,1.3518747358477443,137,18078.19860281666,5654.385974226512
1,42.01236068732525,1.2340383775621095,137,17616.463946916734,6133.450194771572
1,42.33276857228858,1.1893530082895014,147,17393.470124893007,6340.877454775499
1,43.10402393760493,1.0654859712418574,147,16786.11613136968,6850.233650649303
1,43.46365850801314,1.0077270619886358,147,16470.03337216565,7090.255042967835
1,44.035061163525654,0.9159572577416869,147,15924.80257390617,7474.790248663758
1,44.34281612873996,0.8665304434955893,147,15609.869363710157,7683.476925829923
1,45.008796762557786,0.7885656626633635,157,14894.254347801772,8130.887861495275
1,45.42711991123631,0.7570871460697642,157,14425.870751195514,8409.849001115657
1,45.58238594257481,0.7454034886882613,157,14247.990424349344,8513.91468553633
1,46.10979149055739,0.7057165998651799,157,13632.456807272232,8869.484632460326
1,46.442843449465045,0.6806546790794813,157,13239.285482870484,9095.647600483999
1,46.95368189195881,0.6422144530497088,157,12640.760855422146,9444.913904287343
1,47.32404361282123,0.3721600894152674,157,12091.062112710439,9761.606322957086
1,47.76837761664928,0.5809091846957657,157,11740.836496881613,10007.674633229426
1,48.05236233074605,0.2602027931651567,159,11302.435555360182,10280.154896553799
1,48.529835621113854,0.1808636117466397,159,10867.574531847378,10624.089132445202
1,49.077469791226285,0.12151863129645371,179,10494.146829021462,11013.226570084164
1,49.31838828380925,0.06172495396618035,179,10373.250682371918,11193.291716471384
2,26.543714910938704,98.37261568182313,7,30894.700716252242,-95487.97699544829
2,26.29580099916581,98.6498687580682,7,29323.108788743164,-93718.18339295927
2,26.17609886573001,98.78373694033694,7,28282.851028701327,-92180.10378816613
2,26.069626706717187,98.90280945792847,7,27188.46915129621,-90405.69098589686
2,25.984388172996624,90.36970327662684,7,26190.591394172996,-88695.30507443723
2,25.91733955335066,99.07311890704946,7,25327.108091564252,-87164.85872068572
2,25.860354734001824,99.13684754716792,7,24536.26281875957,-85730.93991108732
