type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv
0,,,,
1,"['X1', 'control']",0.011512722435594118,567.6228126174922,574.1576965072686
1,"['X2', 'control']",0.015532938306798966,576.2762372451746,585.2275004859781
1,"['Z1', 'control']",0.005654754604675896,633.7443421165682,637.3280108533392
1,"['Z2', 'control']",0.011487131633597561,533.6441334239236,539.7741738300613
1,"['X1', 'X2']",0.07281199508464614,624.0671531181189,669.5067276034445
1,"['Z1', 'Z2']",0.028447756993456766,659.6433503076826,678.4087240395852
1,"['X1', 'X2']",0.023914182172906244,669.5067276034445,685.5174334533395
1,"['Z1', 'Z2']",0.009245755692257397,678.4087240395852,684.6811253615513
1,"['Z1', 'Z2']",0.005163016167664107,684.6811253615513,688.2161450814874
1,"['X1', 'X2']",0.005029572517104914,685.5174334533395,688.9652930966328
1,"['X2', 'control']",0.004941213150499378,585.2275004859781,588.1192343074133
1,"['Z2', 'control']",0.004907311524110356,539.7741738300613,542.4230138537147
1,"['Z1', 'control']",0.004160584780002636,637.3280108533392,639.9796680751649
1,"['X2', 'control']",0.00393309442908574,588.1192343074133,590.432362791506
1,"['X1', 'control']",0.003726278356144122,574.1576965072686,576.2971679047772
1,"['Z1', 'control']",0.003441308195790989,639.9796680751649,642.1820353520516
1,"['Z1', 'Z2']",0.0032473466781740563,688.2161450814874,690.4510214940835
1,"['Z2', 'control']",0.0030373730913106686,542.4230138537147,544.0705549201016
1,"['X1', 'X2']",0.002394072562184802,688.9652930966328,690.614726001133
