iterID,x1,x2,x3,x4,ParetoFamily,Pareto_f1,Pareto_f2
1,-45.70602608132486,74.70259603314737,29.6707952973185,0.10243744305548952,0,0.3470381880981808,5.139259761295904
1,-51.51987890145557,64.56152831764868,28.55397277322881,0.10644344919059812,0,0.32377553502130574,5.257935114562572
1,7.529499994364073,55.420065068155346,27.713972959518678,0.030794160589071917,0,0.31937448542138797,5.272916570017502
1,-41.42665829593896,50.0,28.313891811792434,0.16861648840289825,7,0.30565857626987314,5.343256074101187
1,9.369748363900655,50.0,28.206475573056643,0.1793531139035529,7,0.29946691665241565,5.3787343772092795
1,100.0,50.0,27.79033663728426,0.22097294887787589,7,0.2796688318372328,5.492631463689306
1,100.0,50.0,27.769267572028205,0.22307881777465235,7,0.27884806622208314,5.497393691232826
1,100.0,50.0,27.501320321847,0.2498700351476082,7,0.2684769052780192,5.557981866612906
1,100.0,50.0,27.19244345073902,0.28076830410920833,7,0.25669792952616144,5.627855363057622
1,100.0,50.0,26.93418740175752,0.30659651646720393,7,0.24701961034316208,5.686280388840033
1,100.0,50.0,26.642581402171306,0.33574203764712857,7,0.2363012270741201,5.75226083339375
1,100.0,50.0,26.33511308765624,0.36647931890406654,7,0.22525693276494915,5.821913037355602
1,100.0,50.0,26.01861290769692,0.39816320989189746,7,0.21417844915405493,5.89379481934252
1,100.0,50.0,25.673188307418283,0.4326744926343109,53,0.20246557140427074,5.972382260352545
1,100.0,50.0,25.34190815370723,0.4659025366778702,53,0.19158791153160198,6.048145410995872
1,100.0,50.0,24.992321247337404,0.5009667836355676,53,0.18052628127282805,6.128348480384317
1,100.0,50.0,24.603825282098306,0.5399336849096152,53,0.16875158438851012,6.217682951406388
1,100.0,50.0,24.21016294954527,0.5793404247230218,53,0.15740104101551047,6.308100211148536
1,100.0,50.0,23.77551181448528,0.6230151374970985,53,0.14552320113813577,6.407672653377644
1,100.0,50.0,23.301979981965417,0.6698784076447978,35,0.13349002851137876,6.514142599827746
1,100.0,50.0,22.785245430165247,0.7216822024695875,35,0.12124367320507685,6.628731082664491
1,100.0,50.0,22.19999092012967,0.7799385065420086,35,0.10862918260942787,6.753897907881171
1,100.0,50.0,21.533177846507265,0.8467969711454164,35,0.09573284537037878,6.890245346228612
1,100.0,50.0,20.747738379669517,0.9247638230451927,35,0.08260140972010631,7.039485006538662
2,100.0,50.0,29.999905999007755,0.0,12,0.3754939044851717,4.952037272296869
2,100.0,50.0,29.96819622316923,0.0,12,0.3741024562048142,4.9580461169619285
2,100.0,50.0,29.732856728793976,0.0,12,0.3637486253584775,5.002991907492708
2,100.0,50.0,29.489373049944945,0.0,12,0.3530189709351076,5.049926006329028
2,100.0,50.0,29.25093633613194,0.0,12,0.34254051851182166,5.096004401317715
2,100.0,50.0,29.010019139790487,0.0,12,0.33202832361120777,5.142369174862023
2,100.0,50.0,28.77061095431067,0.0,42,0.32170026934880774,5.187965657334724
2,100.0,50.0,28.515980440837403,0.0,42,0.31088798470547235,5.235665942888735
2,100.0,50.0,28.269264614091252,0.0,42,0.3006159400678971,5.28090004427826
2,100.0,50.0,28.00589152356494,0.0,42,0.28989859916789695,5.327995829278296
2,100.0,50.0,27.73389285817919,0.0,42,0.27911223999532175,5.3753405656414195
2,100.0,50.0,27.450728101099326,0.0,42,0.268184161253465,5.423397791850473
2,100.0,50.0,27.171948415970856,0.0,34,0.2577067648601811,5.469809234622532
2,100.0,50.0,26.861555790185218,0.0,34,0.24633444010905203,5.52096682205866
2,100.0,50.0,26.572236375116415,0.0,34,0.23597821700826355,5.568705609426387
2,100.0,50.0,26.26442947473974,0.0,34,0.22519729331337932,5.620052564854545
2,100.0,50.0,25.93032429407965,0.0,34,0.2137858831587619,5.676783692176826
2,100.0,50.0,25.61669393960847,0.0,70,0.20340431033222756,5.731029009558288
2,100.0,50.0,25.272390715987207,0.0,70,0.19246422659590745,5.791449215600016
2,100.0,50.0,24.90323367106738,0.0,70,0.1813577136282959,5.856778179511169
2,100.0,50.0,24.499556955883527,0.0,70,0.169992446623785,5.92829615336426
2,100.0,50.0,24.081193986596247,0.0,70,0.15900339887304007,6.002102164451419
2,100.0,50.0,23.63726638647481,0.0,70,0.148053912796198,6.0799763399261755
2,100.0,50.0,23.147084486250353,0.0,70,0.1366041910590879,6.165619791759522
2,100.0,50.0,22.628956803924485,0.0,70,0.12507891888958256,6.255934663955915
2,100.0,50.0,22.085835006786095,0.0,85,0.11359741918343462,6.350125173851565
2,100.0,50.0,21.480317425568927,0.0,85,0.10163188256344832,6.453436046383958
2,100.0,50.0,20.7837252273818,0.0,85,0.08918737601112178,6.5675769476954535
2,47.91778567914105,50.0,20.0,0.0,85,0.07691164345158535,6.687534201597671
3,-100.0,50.0,29.99984125162395,0.0,12,0.37497103269316073,4.9666815118819585
3,-100.0,50.0,29.977883697915747,0.0,12,0.3740147508315534,4.970354095558604
3,-100.0,50.0,29.730929248217855,0.0,12,0.3632175417262496,5.011797516955836
3,-100.0,50.0,29.464273643500817,0.0,12,0.35151169524814224,5.056816313546516
3,-100.0,50.0,29.21307688307021,0.0,12,0.34049022899372483,5.09945903593481
3,-100.0,50.0,28.950476093756265,0.0,31,0.32902397034677366,5.1442568815226455
3,-100.0,50.0,28.699974509107914,0.0,31,0.3181881150508069,5.187177760672823
3,-100.0,50.0,28.43309959108536,0.0,31,0.30681796921837423,5.233081279445426
3,-100.0,50.0,28.165137363512326,0.0,31,0.29564983662878785,5.279331072403161
3,-100.0,50.0,27.88352795437438,0.0,31,0.28422273092370715,5.328080423470278
3,-100.0,50.0,27.600691803369116,0.0,31,0.27305371111131616,5.377160769353739
