step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.23825903884665486,1599.8897864539058,1981.0779892349933,20.0,0.7235426902770996
2,X1X2X3X4,0.04028197684704548,1981.0779892349933,2060.8797269295487,20.0,0.6717979907989502
3,X1X2X3X4,0.008286204478956064,2060.8797269295487,2077.956597753422,20.0,0.7502038478851318
4,X1X2X3X4,0.02827808933650831,2077.956597753422,2136.7172400620802,20.0,0.840346097946167
5,X1X2X3X4,7.863043285059118e-05,2136.7172400620802,2136.8852510635456,20.0,0.7334949970245361
6,X1X2X3X4,0.0,2136.8852510635456,2136.8852510635456,20.0,0.6953568458557129
7,X1X2X3X4,0.015218550610968828,2136.8852510635456,2169.405547406689,20.0,0.7238781452178955
8,X1X2X3X4,0.001980451468483584,2169.405547406689,2173.701949808787,20.0,0.7262678146362305
9,X1X2X3X4,0.0,2173.701949808787,2173.701949808787,20.0,0.9363198280334473
10,X1X2X3X4,0.0013350940014888826,2173.701949808787,2176.6040462430014,20.0,0.7406048774719238
