step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2,0.2450963174343205,86.19250653392865,107.31797247582817,10.0
2,X1X2,0.32496295252012986,107.31797247582817,142.19233767004732,10.0
3,X1X2,0.05082730873929249,142.19233767004732,149.41959151716455,10.0
4,X1X2,0.01465896240140969,149.41959151716455,151.60992769124866,10.0
5,X1X2,0.008690954038413457,151.60992769124866,152.9275626045805,10.0
6,X1X2,0.0020319603917049065,152.9275626045805,153.23830535459297,10.0
7,X1X2,0.004804575521185509,153.23830535459297,153.9745503654076,10.0
8,X1X2,0.002785636381809906,153.9745503654076,154.4034674747783,10.0
9,X1X2,0.0034054459816426517,154.4034674747783,154.92928014264197,10.0
10,X1X2,0.0013488062022810295,154.92928014264197,155.1382497166133,10.0
11,X1X2,0.0020303615258861194,155.1382497166133,155.45323645003123,10.0
12,X1X2,0.0008046245206957046,155.45323645003123,155.57831793590043,10.0
13,X1X2,0.0006288780856221376,155.57831793590043,155.67615773064827,10.0
14,X1X2,0.0008942221998824478,155.67615773064827,155.81536680688342,10.0
15,X1X2,0.000900013164284798,155.81536680688342,155.95560268820748,10.0
