iterID,x1,x2,x3,x4,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,50.0,62.5,20.0,0.25,0.07609344445490687,6.792259217010468,0.0,0.0,0.0,0.0,0.0,0.0,0.2015070160985043
0,100.0,87.5,30.0,1.0,0.3782490875764091,5.536736124565877,0.0,0.0,0.0,0.0,0.0,0.0,0.2015070160985043
0,-100.0,50.0,25.0,0.0,0.1830817977601085,5.849619009343832,0.0,0.0,0.0,0.0,0.0,0.0,0.2015070160985043
0,-50.0,100.0,22.5,0.5,0.11965419648992577,6.526525071492674,0.0,0.0,0.0,0.0,0.0,0.0,0.2015070160985043
0,0.0,75.0,27.5,0.75,0.2698271022673523,5.8433508888273185,0.0,0.0,0.0,0.0,0.0,0.0,0.2015070160985043
1,-100.0,100.0,27.54573185014755,0.0,0.27134926495817363,5.407539650140765,0.27187706824438596,0.08813296993081689,0.6142394244742206,5.450014735965782,0.233618755509452,-1.402311344480708,0.2948461242234715
1,-100.0,100.0,22.774679493767295,0.0,0.12584538748431767,6.2059476708666725,0.1261465118198407,0.039869636220514884,-0.7319096741701472,6.204851672777266,0.1334112841563126,0.20227127501529196,0.2948461242234715
1,-100.0,100.0,28.772249543482587,0.0,0.3234797831872107,5.218863299315332,0.3238494019073563,0.10659412501387171,1.0943206911032703,5.270090029545686,0.31752622584792667,-1.7847834290598286,0.2948461242234715
1,-100.0,100.0,26.138013599659274,0.0,0.2200119407488162,5.658554315013514,0.219217019964443,0.07384175735761615,0.1278055682821062,5.665179231413608,0.1585425699090091,-0.9449288385495862,0.2948461242234715
1,-100.0,100.0,20.629982123276317,0.0,0.08564429839162954,6.549112859586592,0.08565379144958692,0.07276808362354449,-1.1059509210125604,6.547225907128214,0.17634136340061474,0.9300678612864601,0.2948461242234715
2,-100.0,50.0,24.122543942236735,0.0,0.15782061601342226,6.007503401654864,0.15820050892540816,0.00983360794954523,-0.4765646400780241,5.99156339399177,0.011889078316390318,0.06450986693135974,0.31244898298730417
2,-100.0,50.0,22.014967562673075,0.0,0.10944830473635432,6.3405212756061005,0.1084468482142813,0.03205322525809911,-0.9797323993789462,6.324783861224181,0.03758238131637874,0.7216272750321764,0.31244898298730417
2,-100.0,50.0,27.01607252983986,0.0,0.25062590185224665,5.501628808588407,0.2498081396904484,0.02265018797828725,0.4498798797440742,5.494517155591008,0.027475696724913196,-0.9156752297312778,0.31244898298730417
2,-100.0,50.0,28.127125012233556,0.0,0.2957984894080796,5.328645702163785,0.2944132214738311,0.027319908660702278,0.9009791302030408,5.308490810543103,0.03590818087204206,-1.2825228928164165,0.31244898298730417
2,-100.0,50.0,29.483750481115226,0.0,0.3529914303539246,5.0655013693405,0.3537266007771393,0.03994128589740836,1.500826050691785,5.1216293051402975,0.05069103357792171,-1.651017508780285,0.31244898298730417
3,-100.0,100.0,25.497278618857887,0.0,0.1980919660603347,5.774703822935401,0.19929849605177488,0.0037147475330633417,-0.1590446422588343,5.764181920221698,0.011465423472480765,-0.17762407524264745,0.3184581859758403
3,-100.0,100.0,23.299127061574357,0.0,0.13820769728277194,6.1283185338776365,0.137803310412006,0.003394159487700077,-0.7956741424371785,6.128915502747329,0.010671027446411315,0.5319234347909045,0.3184581859758403
3,-100.0,100.0,29.19709268475506,0.0,0.34127428784442737,5.131991142661432,0.34150334027795265,0.0028915604381347863,1.31313237388963,5.131990554907549,0.00837052418701007,-1.4074801417369969,0.3184581859758403
3,-100.0,77.18877758463171,24.515461077857346,0.0,0.16912999656808628,5.949145848485585,0.1692469498431044,0.0045435544459110355,-0.4701535631178331,5.93240669470042,0.014315087223593396,0.14963800199956978,0.3184581859758403
3,-100.0,100.0,26.80319107627478,0.0,0.24273921487490782,5.530180559696314,0.24292772658453765,0.0019496579746794934,0.29262738601903493,5.535613672198208,0.007436165408709276,-0.6222774853694801,0.3184581859758403
4,-100.0,50.0,29.818185152928613,0.0,0.3690747599197655,5.005802126940581,0.36658624530944645,0.009367489346614508,1.6639680313846839,4.989609274442098,0.02124788886979888,-1.7159908684918719,0.3213550839175843
4,-100.0,100.0,26.394089454634425,0.0,0.22845241090816384,5.625129560725817,0.228725383969426,0.0010116743421424725,0.1459753827230088,5.608894022790371,0.0020642394291517136,-0.4321232276305409,0.3213550839175843
4,-100.0,100.0,21.77233083835695,0.0,0.10547442022291637,6.358279243550705,0.10550768986717346,0.01052983349295374,-1.210780639357381,6.373044327506908,0.025248083970680752,1.152071848376977,0.3213550839175843
4,-100.0,100.0,28.2545192058313,0.0,0.300517787892102,5.297971501166611,0.30142990587038176,0.0029926995322171993,0.9465284091393187,5.305102924394878,0.006347234873694908,-1.0619264996341826,0.3213550839175843
4,-100.0,50.0,25.975577712791154,0.0,0.21418083895219311,5.704567333666935,0.21484400855805263,0.004323753531589158,-0.006873117010400165,5.683747304515213,0.009159646659613335,-0.27694145305088114,0.3213550839175843
